Point,Z,X,Y,,,,,,
B1_D1T2B,0.436594,-2.252933,-0.523741,,,,,,
B1_D1T2T,0.436853,-2.256026,0.52084,,,,,,
B1_D1T8B,0.40419,-2.259161,-0.523692,,,,,,
B1_D1T8T,0.404513,-2.262215,0.520921,,,,,,
B1_D10T2B,0.036369,-2.294686,-0.524771,,,,,,
B1_D10T2T,0.03716,-2.297416,0.519875,,,,,,
B1_D10T8B,0.003338,-2.295121,-0.524764,,,,,,
B1_D10T8T,0.003665,-2.297966,0.519857,,,,,,
B1_D11T2B,-0.00832,-2.295091,-0.524744,,,,,,
B1_D11T2T,-0.00805,-2.29801,0.519867,,,,,,
B1_D11T8B,-0.041343,-2.294747,-0.524751,,,,,,
B1_D11T8T,-0.041234,-2.297567,0.51987,,,,,,
B1_D20T2B,-0.408675,-2.258839,-0.523219,,,,,,
B1_D20T2T,-0.408181,-2.260925,0.521403,,,,,,
B1_D20T8B,-0.441166,-2.252922,-0.523182,,,,,,
B1_D20T8T,-0.440626,-2.254959,0.521439,,,,,,
B2_D1T2B,0.439672,2.252881,-0.523019,,,,,,
B2_D1T2T,0.440248,2.253561,0.521605,,,,,,
B2_D1T8B,0.407194,2.25902,-0.523039,,,,,,
B2_D1T8T,0.407689,2.259732,0.521595,,,,,,
B2_D10T2B,0.039853,2.295233,-0.524277,,,,,,
B2_D10T2T,0.039796,2.296547,0.520406,,,,,,
B2_D10T8B,0.006791,2.295449,-0.52427,,,,,,
B2_D10T8T,0.007124,2.296761,0.520351,,,,,,
B2_D11T2B,-0.004667,2.295553,-0.524319,,,,,,
B2_D11T2T,-0.004617,2.296653,0.52026,,,,,,
B2_D11T8B,-0.03762,2.295032,-0.524299,,,,,,
B2_D11T8T,-0.037593,2.296167,0.520291,,,,,,
B2_D20T2B,-0.405432,2.259677,-0.523163,,,,,,
B2_D20T2T,-0.406082,2.261222,0.521495,,,,,,
B2_D20T8B,-0.437724,2.253332,-0.523121,,,,,,
B2_D20T8T,-0.438442,2.254888,0.521517,,,,,,
B3_D1T2B,-1.355977,1.561162,-0.521228,,,,,,
B3_D1T2T,-1.356894,1.563059,0.523470,,,,,,
B3_D1T8B,-1.330861,1.582710,-0.521264,,,,,,
B3_D1T8T,-1.331794,1.584644,0.523414,,,,,,
B3_D2T2B,-1.321889,1.590257,-0.521514,,,,,,
B3_D2T2T,-1.322667,1.592005,0.523276,,,,,,
B3_D2T8B,-1.296322,1.611267,-0.521546,,,,,,
B3_D2T8T,-1.297053,1.612977,0.523224,,,,,,
B3_D3T2B,-1.287418,1.618640,-0.521769,,,,,,
B3_D3T2T,-1.288337,1.620350,0.523078,,,,,,
B3_D3T8B,-1.261358,1.639037,-0.521796,,,,,,
B3_D3T8T,-1.262256,1.640738,0.523030,,,,,,
B3_D4T2B,-1.251692,1.646336,-0.521812,,,,,,
B3_D4T2T,-1.252839,1.647616,0.522974,,,,,,
B3_D4T8B,-1.225170,1.666128,-0.521829,,,,,,
B3_D4T8T,-1.226415,1.667558,0.522936,,,,,,
B3_D5T2B,-1.216136,1.672831,-0.522020,,,,,,
B3_D5T2T,-1.216551,1.674445,0.522852,,,,,,
B3_D5T8B,-1.189185,1.692034,-0.522058,,,,,,
B3_D5T8T,-1.189621,1.693699,0.522793,,,,,,
B3_D6T2B,-1.179619,1.698973,-0.522144,,,,,,
