Box # 	Theta 	Detector ID 		Phi 
5		17.91	11,14,17        	-11.5
8		21.31	21,24,27        	-11.5
11		24.71	31,34,37        	-11.5
14		28.11	41,44,47        	-11.5
17		31.51	51,54,57        	-11.5
20		34.91	61,64,67        	-11.5
23		38.31	71,74,77        	-11.5
26		41.71	81,84,87        	-11.5
29		45.5	91,94,97,100    	-11.5
32		48.9	103,106,109,112 	-11.5
35		52.3	115,118,121,124 	-11.5
38		55.7	127,130,133,136 	-11.5
41		59.1	139,142,145,148 	-11.5
44		62.5	151,154,157,160 	-11.5
47		65.9	163,166,169,172 	-11.5
50		69.3	175,178,181,184 	-11.5
53		72.7	187,190,193,196 	-11.5
56		76.1	199,202,205,208 	-11.5
59		79.5	211,214,217,220 	-11.5
62		82.9	223,226,229,232 	-11.5
65		86.3	235,238,241,244 	-11.5
68		89.7	247,250,253,256 	-11.5
71		93.1	259,262,265,268 	-11.5
74		96.5	271,274,277,280 	-11.5
77		99.9	283,286,289,292 	-11.5
80		102.93	295,298,301     	-11.5
83		105.57	304,307,310     	-11.5
86		108.21	313,316,319     	-11.5
89		110.85	322,325,328     	-11.5
92		113.49	331,334,337     	-11.5
1		11.5	1,2,3,4         	0
2		14.9	5,6,7,8         	0
4		18.3	10,13,16,18     	0
7		21.7	20,23,26,28     	0
10		25.1	30,33,36,38     	0
13		28.5	40,43,46,48     	0
16		31.9	50,53,56,58     	0
19		35.3	60,63,66,68     	0
22		38.7	70,73,76,78     	0
25		42.1	80,83,86,88     	0
28		45.5	90,93,96,99     	0
31		48.9	102,105,108,111 	0
34		52.3	114,117,120,123 	0
37		55.7	126,129,132,135 	0
40		59.1	138,141,144,147 	0
43		62.5	150,153,156,159 	0
46		65.9	162,165,168,171 	0
49		69.3	174,177,180,183 	0
52		72.7	186,189,192,195 	0
55		76.1	198,201,204,207 	0
58		79.5	210,213,216,219 	0
61		82.9	222,225,228,231 	0
64		86.3	234,237,240,243 	0
67		89.7	246,249,252,255 	0
70		93.1	258,261,264,267 	0
73		96.5	270,273,276,279 	0
76		99.9	282,285,288,291 	0
79		102.93	294,297,300     	0
82		105.57	303,306,309     	0
85		108.21	312,315,318     	0
88		110.85	321,324,327     	0
91		113.49	330,333,336     	0
3		17.91	9,12,15         	11.5
6		21.31	19,22,25        	11.5
9		24.71	29,32,35        	11.5
12		28.11	39,42,45        	11.5
15		31.51	49,52,55        	11.5
18		34.91	59,62,65        	11.5
21		38.31	69,72,75        	11.5
24		41.71	79,82,85        	11.5
27		45.5	89,92,95,98     	11.5
30		48.9	101,104,107,110 	11.5
33		52.3	113,116,119,122 	11.5
36		55.7	125,128,131,134 	11.5
39		59.1	137,140,143,146 	11.5
42		62.5	149,152,155,158 	11.5
45		65.9	161,164,167,170 	11.5
48		69.3	173,176,179,182 	11.5
51		72.7	185,188,191,194 	11.5
54		76.1	197,200,203,206 	11.5
57		79.5	209,212,215,218 	11.5
60		82.9	221,224,227,230 	11.5
63		86.3	233,236,239,242 	11.5
66		89.7	245,248,251,254 	11.5
69		93.1	257,260,263,266 	11.5
72		96.5	269,272,275,278 	11.5
75		99.9	281,284,287,290 	11.5
78		102.93	293,296,299     	11.5
81		105.57	302,305,308     	11.5
84		108.21	311,314,317     	11.5
87		110.85	320,323,326     	11.5
90		113.49	329,332,335     	11.5
