"Det. Number","Det. Name","Phi (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)","In Use (1)?"
01,F1,0.0000000000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
02,F2,0.6283190000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
03,F3,1.2566400000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
04,F4,1.8849600000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,
05,F5,2.5132700000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
06,F6,3.1415900000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,
07,F7,-2.5132700000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
08,F8,-1.8849600000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,1
09,F9,-1.2566400000,-0.837758041,-0.7853981634,48.500000,15.819000,15.819000,
10,A0,0.0000000000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
11,A1,0.6283190000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
12,A2,1.2566400000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
13,A3,1.8849600000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
14,A4,2.5132700000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
15,A5,3.1415900000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
16,A6,-2.5132700000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
17,A7,-1.8849600000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
18,A8,-1.2566400000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
19,A9,-0.6283190000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
20,B0,0.3141590000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
21,B1,0.9424780000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
22,B2,1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
23,B3,2.1991100000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
24,B4,2.8274300000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
25,B5,-2.8274300000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
26,B6,-2.1991100000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
27,B7,-1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
28,B8,-0.9424780000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
29,B9,-0.3141590000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
31,C1,0.6283190000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
32,C2,1.2566400000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
33,C3,1.8849600000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
34,C4,2.5132700000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
36,C6,-2.5132700000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
37,C7,-1.8849600000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
38,C8,-1.2566400000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
39,C9,-0.6283190000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
40,D0,0.3141590000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
41,D1,0.9424780000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
42,D2,1.5708000000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
43,D3,2.1991100000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
44,D4,2.8274300000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
45,D5,-2.8274300000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
46,D6,-2.1991100000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
47,D7,-1.5708000000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
48,D8,-0.9424780000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
49,D9,-0.3141590000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
50,E0,0.0000000000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
51,E1,0.6283190000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
52,E2,1.2566400000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
53,E3,1.8849600000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
54,E4,2.5132700000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
55,E5,3.1415900000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
56,E6,-2.5132700000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
57,E7,-1.8849600000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
58,E8,-1.2566400000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
59,E9,-0.6283190000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
