Location	Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
B1	2283.198311	-1100.914995	-2142.266875	3318.782264	-25.74248461	130.2030141	0	-46.824	0
B2	2427.901775	-1100.914995	-1976.763734	3318.782264	-24.39158178	126.5575017	0	-50.848	0
B3	2560.634437	-1100.914995	-1801.514132	3318.782264	-23.26472461	122.8760775	0	-54.872	0
B4	2680.741856	-1100.914995	-1617.382141	3318.782264	-22.32675472	119.1660312	0	-58.896	0
B5	2787.631841	-1100.914995	-1425.275625	3318.782264	-21.55047136	115.4331307	0	-62.92	0
B6	2880.77737	-1100.914995	-1226.141768	3318.782264	-20.91480635	111.6820295	0	-66.944	0
B7	2959.719186	-1100.914995	-1020.962403	3318.782264	-20.40349128	107.9165594	0	-70.968	0
B8	3043.615386	-1100.914995	-733.966806	3318.782264	-19.8857117	102.7769076	0	-76.442	0
B9	3087.617718	-1100.914995	-518.5737303	3318.782264	-19.62410265	98.98954408	0	-80.466	0
B10	3116.39651	-1100.914995	-300.6238197	3318.782264	-19.45655101	95.19712267	0	-84.49	0
B11	3129.809866	-1100.914995	-81.19167936	3318.782264	-19.37939397	91.4018409	0	-88.514	0
B12	3127.791653	-1100.914995	138.6407777	3318.782264	-19.39096562	87.60579544	0	-92.538	0
B13	3110.35182	-1100.914995	357.7896645	3318.782264	-19.49151497	83.81105629	0	-96.562	0
B14	3077.576356	-1100.914995	575.1744645	3318.782264	-19.68321815	80.01973914	0	-100.586	0
B15	2984.903432	-1100.914995	944.8033601	3318.782264	-20.24537014	73.46005463	0	-107.564	0
B16	2911.24394	-1100.914995	1151.937765	3318.782264	-20.71459549	69.69017239	0	-111.588	0
B17	2823.230519	-1100.914995	1353.392524	3318.782264	-21.30323101	65.93342118	0	-115.612	0
B18	2721.297122	-1100.914995	1548.174364	3318.782264	-22.02605177	62.1933904	0	-119.636	0
B19	2605.946333	-1100.914995	1735.322908	3318.782264	-22.90224195	58.4744045	0	-123.66	0
B20	2477.746891	-1100.914995	1913.91542	3318.782264	-23.95658288	54.78178465	0	-127.684	0
B21	2337.330883	-1100.914995	2083.071346	3318.782264	-25.22108058	51.12220906	0	-131.708	0
B22	2127.95909	-1100.914995	2296.539135	3318.782264	-27.35511172	46.21275617	0	-137.182	0
B23	1961.555038	-1100.914995	2440.205672	3318.782264	-29.30314641	42.66984621	0	-141.206	0
B24	1785.479512	-1100.914995	2571.840742	3318.782264	-31.65771228	39.2008545	0	-145.23	0
B25	1600.600655	-1100.914995	2690.795316	3318.782264	-34.52072459	35.82799584	0	-149.254	0
B26	1407.830015	-1100.914995	2796.482887	3318.782264	-38.02520351	32.58183281	0	-153.278	0
B27	1208.11805	-1100.914995	2888.382361	3318.782264	-42.34179853	29.50486188	0	-157.302	0
B28	868.0241278	-1100.914995	3008.128322	3318.782264	-51.74574021	24.98814616	0	-163.904	0
B29	654.7908471	-1100.914995	3061.625522	3318.782264	-59.25710193	22.70346805	0	-167.928	0
B30	438.3291113	-1100.914995	3100.027335	3318.782264	-68.29003437	20.91905447	0	-171.952	0
B31	219.7061878	-1100.914995	3123.144422	3318.782264	-78.71393015	19.77113239	0	-175.976	0
B32	-4.85335E-13	-1100.914995	3130.862803	3318.782264	-90	19.37336211	0	-180.	0
B33	-219.7061878	-1100.914995	3123.144422	3318.782264	-101.2860699	19.77113239	0	-184.024	0
B34	-438.3291113	-1100.914995	3100.027335	3318.782264	-111.7099656	20.91905447	0	-188.048	0
B35	-751.4845015	-1100.914995	3039.337581	3318.782264	-124.3174425	23.68054393	0	-193.888	0
B36	-962.9153663	-1100.914995	2979.109915	3318.782264	-131.1745674	26.14893435	0	-197.912	0
B37	-1169.598564	-1100.914995	2904.193707	3318.782264	-136.7326824	28.94577887	0	-201.936	0
B38	-1370.51504	-1100.914995	2814.958333	3318.782264	-141.2255884	31.98464065	0	-205.96	0
M1	2147.226726	-50	-2081.970488	2991.267912	-1.333939876	134.1082389	0	-45.884	0
M2	2294.341954	-50	-1918.639811	2991.267912	-1.248434472	129.8973063	0	-50.096	0
M3	2429.06368	-50	-1744.945088	2991.267912	-1.179213412	125.6862498	0	-54.308	0
M4	2550.664171	-50	-1561.824578	2991.267912	-1.123010291	121.4750986	0	-58.52	0
M5	2658.486567	-50	-1370.267455	2991.267912	-1.077474416	117.2638741	0	-62.732	0
M6	2751.948437	-50	-1171.308466	2991.267912	-1.040889345	113.052593	0	-66.944	0
