Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.29816	0	2.64047	131.03500	350.05139
-2.12845	0	2.77937	127.44500	350.07416
-1.94771	0	2.90342	123.85500	349.61954
-1.76391	0	3.02281	120.26500	349.98224
-1.57070	0	3.12638	116.67500	349.87601
-1.37261	0	3.22037	113.08500	350.06854
-1.16788	0	3.29890	109.49500	349.95303
-0.95870	0	3.36444	105.90500	349.83698
-0.74615	0	3.41786	102.31500	349.83575
-0.53078	0	3.45857	98.72500	349.90659
-0.31259	0	3.47846	95.13500	349.24789
-0.09431	0	3.49670	91.54500	349.79712
0.12488	0	3.49724	87.95500	349.94678
0.34370	0	3.48337	84.36500	350.02896
0.56087	0	3.45338	80.77500	349.86322
0.77589	0	3.41094	77.18500	349.80771
0.98775	0	3.35500	73.59500	349.73779
1.19631	0	3.28771	70.00500	349.86011
1.39975	0	3.20618	66.41500	349.84100
1.59731	0	3.11136	62.82500	349.74243
1.78813	0	3.00379	59.23500	349.57397
1.97414	0	2.88802	55.64500	349.82721
2.14988	0	2.75717	52.05500	349.62811
2.31816	0	2.61698	48.46500	349.60660
2.47700	0	2.46621	44.87500	349.53851
2.62918	0	2.30858	41.28500	349.88754
2.76693	0	2.13814	37.69500	349.67862
2.89692	0	1.96173	34.10500	349.86526
3.01016	0	1.77418	30.51500	349.41089
3.11738	0	1.58325	26.92500	349.63910
3.21048	0	1.38498	23.33500	349.64780
3.28963	0	1.18077	19.74500	349.51242
3.35648	0	0.97229	16.15500	349.44687
3.41162	0	0.76040	12.56500	349.53293
3.44972	0	0.54484	8.97500	349.24762
3.47958	0	0.32800	5.38500	349.50015
3.47939	0	-0.32798	-5.38500	349.48126
3.45286	0	-0.54533	-8.97500	349.56580
3.41263	0	-0.76062	-12.56500	349.63651
3.35747	0	-0.97258	-16.15500	349.55008
3.29077	0	-1.18118	-19.74500	349.63333
3.21131	0	-1.38533	-23.33500	349.73776
3.11622	0	-1.58266	-26.92500	349.50833
3.01331	0	-1.77604	-30.51500	349.77609
2.89492	0	-1.96038	-34.10500	349.62305
2.75901	0	-2.13202	-37.69500	348.67825
2.61756	0	-2.29837	-41.28500	348.34091
2.46986	0	-2.45911	-44.87500	348.53149
2.30280	0	-2.59965	-48.46500	347.29047
2.13814	0	-2.74212	-52.05500	347.71915

