Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.29918	0	2.64164	131.035	350.207
-2.1289	0	2.77996	127.445	350.149
-1.94788	0	2.90368	123.855	349.651
-1.76422	0	3.02334	120.265	350.044
-1.57086	0	3.12671	116.675	349.914
-1.37277	0	3.22076	113.085	350.111
-1.16784	0	3.2988	109.495	349.941
-0.95877	0	3.36467	105.905	349.861
-0.746098	0	3.41762	102.315	349.811
-0.530737	0	3.45829	98.725	349.878
-0.31257	0	3.47828	95.135	349.229
-0.0943022	0	3.49632	91.545	349.759
0.124852	0	3.49657	87.955	349.88
0.343651	0	3.48291	84.365	349.983
0.560769	0	3.45275	80.775	349.799
0.775728	0	3.41025	77.185	349.736
0.987481	0	3.35409	73.595	349.644
1.19604	0	3.287	70.005	349.784
1.39952	0	3.20565	66.415	349.783
1.5968	0	3.11037	62.825	349.631
1.78754	0	3.00279	59.235	349.457
1.97336	0	2.88688	55.645	349.689
2.14928	0	2.7564	52.055	349.53
2.31755	0	2.6163	48.465	349.515
2.47604	0	2.46526	44.875	349.403
2.6285	0	2.30798	41.285	349.797
2.76611	0	2.13751	37.695	349.575
2.89609	0	1.96117	34.105	349.765
3.00921	0	1.77362	30.515	349.3
3.11642	0	1.58276	26.925	349.531
3.20934	0	1.38449	23.335	349.524
3.28842	0	1.18034	19.745	349.384
3.3553	0	0.971948	16.155	349.324
3.41056	0	0.760162	12.565	349.424
3.44907	0	0.544736	8.975	349.182
3.47928	0	0.32797	5.385	349.47
3.47941	0	-0.327982	-5.385	349.483
3.45298	0	-0.545353	-8.975	349.578
3.41119	0	-0.760304	-12.565	349.49
3.3585	0	-0.972874	-16.155	349.657
3.29089	0	-1.18123	-19.745	349.646
3.2122	0	-1.38572	-23.335	349.835
3.11684	0	-1.58297	-26.925	349.578
3.01387	0	-1.77637	-30.515	349.841
2.89542	0	-1.96071	-34.105	349.683
2.75975	0	-2.13259	-37.695	348.771
2.61816	0	-2.2989	-41.285	348.421
2.47123	0	-2.46047	-44.875	348.725
2.3023	0	-2.59907	-48.465	347.214
2.13724	0	-2.74097	-52.055	347.573
