Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.29914	0	2.6416	131.035	350.201
-2.12963	0	2.78091	127.445	350.268
-1.94876	0	2.90499	123.855	349.809
-1.76457	0	3.02394	120.265	350.114
-1.57125	0	3.12748	116.675	350
-1.37322	0	3.22181	113.085	350.226
-1.16839	0	3.30034	109.495	350.106
-0.959066	0	3.36571	105.905	349.969
-0.746478	0	3.41936	102.315	349.989
-0.531016	0	3.46011	98.725	350.062
-0.312712	0	3.47985	95.135	349.388
-0.0943532	0	3.49821	91.545	349.948
0.124927	0	3.49866	87.955	350.089
0.343822	0	3.48465	84.365	350.157
0.561097	0	3.45477	80.775	350.003
0.776185	0	3.41226	77.185	349.942
0.988243	0	3.35668	73.595	349.913
1.19682	0	3.28912	70.005	350.01
1.40077	0	3.20853	66.415	350.098
1.59804	0	3.11279	62.825	349.903
1.789	0	3.00525	59.235	349.744
1.97484	0	2.88904	55.645	349.95
2.15085	0	2.75842	52.055	349.787
2.31963	0	2.61863	48.465	349.827
2.47847	0	2.46767	44.875	349.746
2.63041	0	2.30965	41.285	350.05
2.76818	0	2.1391	37.695	349.836
2.89819	0	1.96259	34.105	350.019
3.01173	0	1.7751	30.515	349.593
3.11912	0	1.58413	26.925	349.834
3.21247	0	1.38583	23.335	349.864
3.29122	0	1.18134	19.745	349.681
3.35816	0	0.972775	16.155	349.621
3.41296	0	0.760699	12.565	349.671
3.45126	0	0.545083	8.975	349.404
3.48213	0	0.328238	5.385	349.756
3.48124	0	-0.328155	-5.385	349.667
3.45451	0	-0.545596	-8.975	349.733
3.41289	0	-0.760682	-12.565	349.663
3.36003	0	-0.973318	-16.155	349.816
3.29262	0	-1.18185	-19.745	349.83
3.21318	0	-1.38614	-23.335	349.941
3.11821	0	-1.58367	-26.925	349.732
3.01496	0	-1.77701	-30.515	349.968
2.89658	0	-1.9615	-34.105	349.823
2.76138	0	-2.13385	-37.695	348.977
2.61927	0	-2.29987	-41.285	348.568
2.47215	0	-2.46139	-44.875	348.855
2.30352	0	-2.60046	-48.465	347.399
2.1379	0	-2.74181	-52.055	347.68
