BankAngle	BankDistance	Bank_xpos	Bank_ypos	Bank_zpos
131.035	349.638	2.63735	0.00000	-2.29545
127.445	349.358	2.77368	0.00000	-2.12409
123.855	349.378	2.90141	0.00000	-1.94636
120.265	348.476	3.00980	0.00000	-1.75632
116.675	348.531	3.11436	0.00000	-1.56466
113.085	349.441	3.21459	0.00000	-1.37014
109.495	349.450	3.29416	0.00000	-1.16620
105.905	349.346	3.35972	0.00000	-0.95736
102.315	349.219	3.41183	0.00000	-0.74484
98.725	349.193	3.45152	0.00000	-0.52970
95.135	348.764	3.47364	0.00000	-0.31215
91.545	349.478	3.49351	0.00000	-0.09423
87.955	349.491	3.49269	0.00000	0.12471
84.365	349.390	3.47701	0.00000	0.34307
80.775	349.220	3.44703	0.00000	0.55984
77.185	349.337	3.40636	0.00000	0.77484
73.595	349.132	3.34919	0.00000	0.98604
70.005	349.232	3.28181	0.00000	1.19416
66.415	349.183	3.20015	0.00000	1.39711
62.825	349.190	3.10645	0.00000	1.59478
59.235	349.010	2.99895	0.00000	1.78525
55.645	348.967	2.88092	0.00000	1.96929
52.055	349.062	2.75271	0.00000	2.14640
48.465	349.208	2.61400	0.00000	2.31552
44.875	349.148	2.46346	0.00000	2.47423
41.285	349.346	2.30500	0.00000	2.62511
37.695	349.237	2.13544	0.00000	2.76343
34.105	349.267	1.95838	0.00000	2.89197
30.515	349.041	1.77231	0.00000	3.00698
26.925	349.127	1.58093	0.00000	3.11282
23.335	348.901	1.38202	0.00000	3.20362
19.745	349.009	1.17907	0.00000	3.28489
16.155	348.909	0.97079	0.00000	3.35132
12.565	349.025	0.75929	0.00000	3.40665
8.975	348.964	0.54440	0.00000	3.44691
5.385	349.035	0.32756	0.00000	3.47495
-5.385	348.574	-0.32713	0.00000	3.47035
-8.975	348.253	-0.54329	0.00000	3.43989
-12.565	349.148	-0.75956	0.00000	3.40786
-16.155	349.100	-0.97133	0.00000	3.35315
-19.745	349.195	-1.17970	0.00000	3.28665
-23.335	349.149	-1.38300	0.00000	3.20591
-26.925	348.939	-1.58008	0.00000	3.11114
-30.515	349.198	-1.77310	0.00000	3.00833
-34.105	349.213	-1.95808	0.00000	2.89152
-37.695	349.382	-2.13633	0.00000	2.76458
-41.285	349.350	-2.30503	0.00000	2.62515
-44.875	349.039	-2.46268	0.00000	2.47345
-48.465	347.599	-2.60196	0.00000	2.30485
-52.055	348.137	-2.74541	0.00000	2.14071
