Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.2975149	0.000000	2.63973		131.035		349.95355
-2.1287107	0.000000	2.7797105	127.445		350.11713
-1.949351	0.000000	2.9058673	123.855		349.91476
-1.7627689	0.000000	3.0208521	120.265		349.75565
-1.5686496	0.000000	3.1223056	116.675		349.42029
-1.3694119	0.000000	3.212872	113.085		349.254
-1.1654707	0.000000	3.2921002	109.495		349.23123
-0.95463318	0.000000	3.3501565	105.905		348.35144
-0.74139363	0.000000	3.3960657	102.315		347.60504
-0.52713954	0.000000	3.4348488	98.724998	347.50629
-0.31150255	0.000000	3.4663999	95.135002	348.0368
-0.094135731	0.000000	3.4901483	91.544998	349.14175
0.12491921	0.000000	3.4984403	87.955002	350.06699
0.3441104	0.000000	3.4875698	84.364998	350.4505
0.56163144	0.000000	3.4580569	80.775002	350.33679
0.77664727	0.000000	3.4142876	77.184998	350.15054
0.98905748	0.000000	3.359447	73.595001	350.20163
1.1981748	0.000000	3.2928519	70.004997	350.40686
1.4024403	0.000000	3.2123513	66.415001	350.51447
1.6003209	0.000000	3.1172328	62.825001	350.40216
1.7914876	0.000000	3.0094266	59.235001	350.22958
1.9767467	0.000000	2.8918352	55.645		350.289
2.1537712	0.000000	2.7621627	52.055		350.26096
2.3197696	0.000000	2.6187973	48.465		349.84897
2.4779289	0.000000	2.4671404	44.875		349.67004
2.6326075	0.000000	2.3115811	41.285		350.34311
2.7721117	0.000000	2.1421449	37.695		350.33395
2.8984179	0.000000	1.9627453	34.105		350.04565
3.0139513	0.000000	1.7764159	30.514999	349.85077
3.1228888	0.000000	1.5860455	26.924999	350.25668
3.2161534	0.000000	1.387424	23.334999	350.26544
3.292722	0.000000	1.1818837	19.745001	349.84091
3.3609784	0.000000	0.97359264	16.155001	349.9151
3.4141135	0.000000	0.76095527	12.565		349.78885
3.4525478	0.000000	0.54528576	8.9750004	349.5343
3.4775906	0.000000	0.32781056	5.3850002	349.30066
3.4753189	0.000000	-0.32759643	-5.3850002	349.07251
3.4538949	0.000000	-0.54549849	-8.9750004	349.67068
3.4110098	0.000000	-0.7602635	-12.565		349.47086
3.3566146	0.000000	-0.97232854	-16.155001	349.46078
3.2895868	0.000000	-1.1807584	-19.745001	349.50781
3.2103362	0.000000	-1.3849145	-23.334999	349.6319
3.1119456	0.000000	-1.5804877	-26.924999	349.02933
2.9992433	0.000000	-1.767747	-30.514999	348.14349
2.877593	0.000000	-1.9486432	-34.105		347.53061
2.745501	0.000000	-2.1215816	-37.695		346.97095
2.6045425	0.000000	-2.2869387	-41.285		346.60828
2.4539225	0.000000	-2.4432385	-44.875		346.28241
2.3000133	0.000000	-2.5964942	-48.465		346.86948
2.1456494	0.000000	-2.7517467	-52.055		348.94012
