Location  Radius  Inclination  Azimuth  Xsci         Ysci         Zsci          Xrot_sci  Yrot_sci  Zrot_sci
A1        2548    -18.414      148.19   1274.295027  -804.864486  -2054.426768  0         328.19    0
A2        2548    -18.414      142.77   1462.650296  -804.864486  -1924.876949  0         322.77    0
A3        2548    -18.414      137.35   1637.926704  -804.864486  -1778.115089  0         317.35    0
A4        2548    -18.414      131.93   1798.556949  -804.864486  -1615.453515  0         311.93    0
A5        2548    -18.414      126.51   1943.104691  -804.864486  -1438.346731  0         306.51    0
A6        2548    -18.414      121.09   2070.277401  -804.864486  -1248.378405  0         301.09    0
A7        2548    -18.414      111.69   2246.370655  -804.864486  -893.485333   0         291.69    0
A8        2548    -18.414      106.27   2320.722146  -804.864486  -677.307816   0         286.27    0
A9        2548    -18.414      100.85   2374.321991  -804.864486  -455.073886   0         280.85    0
A10       2548    -18.414      95.43    2406.690904  -804.864486  -228.770735   0         275.43    0
A11       2548    -18.414      90.01    2417.539448  -804.864486  -0.421940     0         270.01    0
A12       2548    -18.414      80.61    2385.146032  -804.864486  394.430682    0         260.61    0
A13       2548    -18.414      75.19    2337.225898  -804.864486  617.958138    0         255.19    0
A14       2548    -18.414      69.77    2268.406542  -804.864486  835.959879    0         249.77    0
A15       2548    -18.414      64.35    2179.303339  -804.864486  1046.486558   0         244.35    0
A16       2548    -18.414      58.93    2070.713041  -804.864486  1247.655666   0         238.93    0
A17       2548    -18.414      49.53    1839.133279  -804.864486  1569.103547   0         229.53    0
A18       2548    -18.414      44.11    1682.699644  -804.864486  1735.805020   0         224.11    0
A19       2548    -18.414      38.69    1511.219491  -804.864486  1886.985111   0         218.69    0
A20       2548    -18.414      33.27    1326.226176  -804.864486  2021.291985   0         213.27    0
A21       2548    -18.414      27.85    1129.373890  -804.864486  2137.524684   0         207.85    0
A22       2548    -18.414      18.45    765.095564   -804.864486  2293.278425   0         198.45    0
A23       2548    -18.414      13.03    545.061359   -804.864486  2355.293033   0         193.03    0
A24       2548    -18.414      7.61     320.153274   -804.864486  2396.246865   0         187.61    0
A25       2548    -18.414      2.19     92.382414    -804.864486  2415.773716   0         182.19    0
A26       2548    -18.414      -3.23    -136.214521  -804.864486  2413.698979   0         176.77    0
A27       2548    -18.414      -11      -461.288280  -804.864486  2373.122475   0         169       0
A28       2548    -18.414      -16.42   -683.381125  -804.864486  2318.941008   0         163.58    0
A29       2548    -18.414      -21.84   -899.363249  -804.864486  2244.023820   0         158.16    0
B1        2584    1.831        149.67   1304.201117  82.562778    -2229.192417  0         329.67    0
B2        2584    1.831        144.6    1496.098280  82.562778    -2105.214793  0         324.6     0
B3        2584    1.831        139.53   1676.288396  82.562778    -1964.763752  0         319.53    0
B4        2584    1.831        134.46   1843.361467  82.562778    -1808.938333  0         314.46    0
B5        2584    1.831        129.39   1996.010138  82.562778    -1638.957876  0         309.39    0
B6        2584    1.831        124.32   2133.039925  82.562778    -1456.152488  0         304.32    0
B7        2584    1.831        119.25   2253.378563  82.562778    -1261.952630  0         299.25    0
B8        2584    1.831        113.52   2368.113691  82.562778    -1030.668199  0         293.52    0
B9        2584    1.831        108.45   2449.931376  82.562778    -817.358942   0         288.45    0
B10       2584    1.831        103.38   2512.578220  82.562778    -597.653809   0         283.38    0
B11       2584    1.831        98.31    2555.564008  82.562778    -373.272004   0         278.31    0
B12       2584    1.831        93.24    2578.552374  82.562778    -145.969326   0         273.24    0
B13       2584    1.831        88.17    2581.363432  82.562778    82.475570     0         268.17    0
B14       2584    1.831        82.44    2560.231046  82.562778    339.788726    0         262.44    0
B15       2584    1.831        77.37    2520.186008  82.562778    564.713974    0         257.37    0
B16       2584    1.831        72.3     2460.420382  82.562778    785.220306    0         252.3     0
B17       2584    1.831        67.23    2381.401839  82.562778    999.582248    0         247.23    0
B18       2584    1.831        62.16    2283.748701  82.562778    1206.122407   0         242.16    0
B19       2584    1.831        57.09    2168.225109  82.562778    1403.224595   0         237.09    0
B20       2584    1.831        51.36    2017.292430  82.562778    1612.690497   0         231.36    0
B21       2584    1.831        46.29    1866.881812  82.562778    1784.654500   0         226.29    0
B22       2584    1.831        41.22    1701.862747  82.562778    1942.653489   0         221.22    0
B23       2584    1.831        36.15    1523.526516  82.562778    2085.451113   0         216.15    0
B24       2584    1.831        31.08    1333.268610  82.562778    2211.929972   0         211.08    0
B25       2584    1.831        26.01    1132.577808  82.562778    2321.100363   0         206.01    0
B26       2584    1.831        20.28    895.178412   82.562778    2422.580236   0         200.28    0
B27       2584    1.831        15.21    677.585904   82.562778    2492.211213   0         195.21    0
B28       2584    1.831        10.14    454.691251   82.562778    2542.340507   0         190.14    0
B29       2584    1.831        5.07     228.238615   82.562778    2572.575854   0         185.07    0
B30       2584    1.831        -5.07    -228.238615  82.562778    2572.575854   0         174.93    0
B31       2584    1.831        -10.8    -483.946097  82.562778    2536.934284   0         169.2     0
B32       2584    1.831        -15.87   -706.248527  82.562778    2484.240811   0         164.13    0
B33       2584    1.831        -20.94   -923.024525  82.562778    2412.108023   0         159.06    0
C1        2604    21.794       148.19   1274.473643  966.788649   -2054.714734  0         328.19    0
C2        2604    21.794       142.77   1462.855314  966.788649   -1925.146757  0         322.77    0
C3        2604    21.794       137.35   1638.156291  966.788649   -1778.364325  0         317.35    0
C4        2604    21.794       131.93   1798.809051  966.788649   -1615.679952  0         311.93    0
C5        2604    21.794       126.51   1943.377054  966.788649   -1438.548342  0         306.51    0
C6        2604    21.794       121.09   2070.567589  966.788649   -1248.553389  0         301.09    0
C7        2604    21.794       111.69   2246.685526  966.788649   -893.610572   0         291.69    0
C8        2604    21.794       106.27   2321.047439  966.788649   -677.402754   0         286.27    0
C9        2604    21.794       100.85   2374.654797  966.788649   -455.137674   0         280.85    0
C10       2604    21.794       95.43    2407.028248  966.788649   -228.802802   0         275.43    0
C11       2604    21.794       90.01    2417.878311  966.788649   -0.421999     0         270.01    0
C12       2604    21.794       80.61    2385.480356  966.788649   394.485969    0         260.61    0
C13       2604    21.794       75.19    2337.553504  966.788649   618.044757    0         255.19    0
C14       2604    21.794       69.77    2268.724502  966.788649   836.077055    0         249.77    0
C15       2604    21.794       64.35    2179.608810  966.788649   1046.633242   0         244.35    0
C16       2604    21.794       58.93    2071.003291  966.788649   1247.830548   0         238.93    0
C17       2604    21.794       49.53    1839.391068  966.788649   1569.323487   0         229.53    0
C18       2604    21.794       44.11    1682.935506  966.788649   1736.048326   0         224.11    0
C19       2604    21.794       38.69    1511.431317  966.788649   1887.249608   0         218.69    0
C20       2604    21.794       33.27    1326.412072  966.788649   2021.575307   0         213.27    0
C21       2604    21.794       27.85    1129.532193  966.788649   2137.824299   0         207.85    0
C22       2604    21.794       18.45    765.202807   966.788649   2293.599872   0         198.45    0
C23       2604    21.794       13.03    545.137760   966.788649   2355.623172   0         193.03    0
C24       2604    21.794       7.61     320.198150   966.788649   2396.582745   0         187.61    0
C25       2604    21.794       2.19     92.395363    966.788649   2416.112333   0         182.19    0
C26       2604    21.794       -3.23    -136.233614  966.788649   2414.037305   0         176.77    0
C27       2604    21.794       -11      -461.352939  966.788649   2373.455113   0         169       0
C28       2604    21.794       -16.42   -683.476914  966.788649   2319.266051   0         163.58    0
C29       2604    21.794       -21.84   -899.489312  966.788649   2244.338363   0         158.16    0
