id          PointName               Z         X         Y
bank92_U1   Downstream1Upper1       2.503454  0.237077  0.412226
bank92_L1   Downstream1Lower1       2.494966  0.238757  -0.462000
bank92_U2   Downstream1Upper2       2.502587  0.192872  0.420536
bank92_L2   Downstream1Lower2       2.494765  0.194739  -0.462000
bank93_U1   Downstream2Upper1       2.502942  0.178368  0.432306
bank93_L1   Downstream2Lower1       2.495827  0.179661  -0.462000
bank93_U2   Downstream2Upper2       2.502193  0.134290  0.435251
bank93_L2   Downstream2Lower2       2.495235  0.135875  -0.462000
bank94_U1   Downstream3Upper1       2.502741  0.119553  0.438415
bank94_L1   Downstream3Lower1       2.495896  0.120762  -0.462000
bank94_U2   Downstream3Upper2       2.502523  0.075462  0.454113
bank94_L2   Downstream3Lower2       2.495274  0.076431  -0.462000
bank90_U1b  Downstream4UpperUpper1  2.502364  0.061414  0.449648
bank90_L1b  Downstream4UpperLower1  2.501063  0.061255  0.147661
bank90_U2b  Downstream4UpperUpper2  2.502865  0.031857  0.451593
bank90_L2b  Downstream4UpperLower2  2.501189  0.031765  0.147664
bank91_U1f  Downstream5LowerUpper1  2.498360  0.061620  -0.147920
bank91_L1f  Downstream5LowerLower1  2.495489  0.062412  -0.638000
bank91_U2f  Downstream5LowerUpper2  2.498429  0.032153  -0.147977
bank91_L2f  Downstream5LowerLower2  2.494582  0.032756  -0.638000
bank90_U1f  Downstream6UpperUpper1  2.502137  0.016888  0.468116
bank90_L1f  Downstream6UpperLower1  2.501593  0.016925  0.147610
bank90_U2f  Downstream6UpperUpper2  2.501954  -0.012677  0.474078
bank90_L2f  Downstream6UpperLower2  2.501026  -0.012542  0.147475
bank91_U1b  Downstream7LowerUpper1  2.498788  0.017727  -0.147964
bank91_L1b  Downstream7LowerLower1  2.493694  0.018219  -0.638000
bank91_U2b  Downstream7LowerUpper2  2.498438  -0.011808  -0.148361
bank91_L2b  Downstream7LowerLower2  2.494112  -0.011532  -0.638000
