DETECTOR PointName Z X Y
Det1_1U  20.902774 -0.207566 -0.516933
Det1_2U  20.903618 -0.020433 -0.561108
Det1_1D  21.866809 -0.198086 -0.459110
Det1_2D  21.867494 -0.010858 -0.502882
Det2_1U  20.902046 -0.412890 -0.373456
Det2_2U  20.902063 -0.261987 -0.492617
Det2_1D  21.866236 -0.377666 -0.327491
Det2_2D  21.866167 -0.226509 -0.446328
Det3_1U  20.899045 -0.527770 -0.154959
Det3_2U  20.899352 -0.444033 -0.328045
Det3_1D  21.863388 -0.479676 -0.130234
Det3_2D  21.863697 -0.394636 -0.302684
Det4_1U  20.904173 -0.550696 -0.100943
Det4_2U  20.904127 -0.547058 0.091300
Det4_1D  21.867904 -0.486488 -0.102704
Det4_2D  21.867490 -0.478374 0.089402
Det5_1U  20.907348 -0.533659 0.145363
Det5_2U  20.906731 -0.450706 0.318825
Det5_1D  21.871288 -0.478222 0.123637
Det5_2D  21.870608 -0.394167 0.296569
Det6_1U  20.910063 -0.409143 0.361272
Det6_2U  20.910265 -0.258331 0.480547
Det6_1D  21.874421 -0.376016 0.320560
Det6_2D  21.874740 -0.226687 0.441686
Det7_1U  20.903194 -0.214059 0.507455
Det7_2U  20.902438 -0.026721 0.550753
Det7_1D  21.867345 -0.195943 0.451781
Det7_2D  21.866399 -0.008894 0.496305
Det8_1U  20.939893 0.029131 0.549198
Det8_2U  20.939609 0.216653 0.506697
Det8_1D  21.929734 0.018288 0.494741
Det8_2D  21.929499 0.205809 0.452237
Det9_1U  20.940021 0.267837 0.485096
Det9_2U  20.939807 0.418196 0.365250
Det9_1D  21.930027 0.235983 0.443367
Det9_2D  21.929813 0.386342 0.323522
Det10_1U  20.941301 0.447494 0.323034
Det10_2U  20.940840 0.527671 0.148270
Det10_1D  21.931366 0.401836 0.299476
Det10_2D  21.930905 0.482013 0.124712
Det11_1U  20.939716 0.545579 0.096219
Det11_2U  20.939695 0.545946 -0.096058
Det11_1D  21.929774 0.494071 0.096010
Det11_2D  21.929753 0.494438 -0.096267
Det12_1U  20.940630 0.536804 -0.149505
Det12_2U  20.940692 0.455882 -0.323925
Det12_1D  21.930496 0.486988 -0.126039
Det12_2D  21.930559 0.406066 -0.300459
Det13_1U  20.953513 0.267359 -0.488246
Det13_2U  20.953395 0.417878 -0.368602
Det13_1D  21.917765 0.233763 -0.446734
Det13_2D  21.917667 0.383052 -0.325558
Det14_1U  20.954316 0.029120 -0.556223
Det14_2U  20.954260 0.217033 -0.515485
Det14_1D  21.918481 0.018751 -0.504891
Det14_2D  21.918483 0.206528 -0.463531
Det15_1U  20.393009 -0.149779 -0.815681
Det15_2U  20.393284 0.042074 -0.828464
Det15_1D  21.358977 -0.150666 -0.808190
Det15_2D  21.359252 0.041186 -0.820973
Det16_1U  20.392598 -0.361318 -0.748779
Det16_2U  20.393933 -0.180151 -0.813181
Det16_1D  21.358485 -0.363298 -0.734332
Det16_2D  21.359820 -0.182131 -0.798733
Det17_1U  20.392269 -0.547963 -0.622980
Det17_2U  20.393903 -0.390896 -0.733878
Det17_1D  21.358179 -0.548891 -0.610066
Det17_2D  21.359813 -0.391825 -0.720963
Det18_1U  20.393779 -0.696191 -0.447179
Det18_2U  20.394338 -0.574894 -0.596369
Det18_1D  21.359756 -0.693623 -0.441474
Det18_2D  21.360315 -0.572326 -0.590664
Det19_1U  20.393241 -0.787254 -0.240427
Det19_2U  20.393520 -0.712823 -0.417714
Det19_1D  21.359237 -0.787879 -0.239173
Det19_2D  21.359516 -0.713448 -0.416460
Det20_1U  20.394062 -0.819139 -0.018149
Det20_2U  20.394124 -0.794870 -0.208889
Det20_1D  21.360045 -0.824216 -0.018481
Det20_2D  21.360107 -0.799948 -0.209221
Det21_1U  20.394575 -0.821224 0.014190
Det21_2U  20.395019 -0.793245 0.204421
Det21_1D  21.360565 -0.824189 0.012371
Det21_2D  21.361010 -0.796210 0.202602
Det22_1U  20.393921 -0.783248 0.235731
Det22_2U  20.393963 -0.705913 0.411771
Det22_1D  21.359906 -0.787676 0.237446
Det22_2D  21.359948 -0.710340 0.413486
Det23_1U  20.393463 -0.692705 0.440793
Det23_2U  20.393335 -0.570684 0.589392
Det23_1D  21.359459 -0.693282 0.442100
Det23_2D  21.359330 -0.571261 0.590699
Det24_1U  20.393859 -0.543489 0.611346
Det24_2U  20.394349 -0.385859 0.721451
Det24_1D  21.359842 -0.548137 0.613701
Det24_2D  21.360332 -0.390507 0.723806
Det25_1U  20.394228 -0.364093 0.737490
Det25_2U  20.394034 -0.181877 0.798876
Det25_1D  21.360215 -0.364529 0.741841
Det25_2D  21.360021 -0.182313 0.803227
Det26_1U  20.394518 -0.148495 0.802496
Det26_2U  20.394767 0.043302 0.816090
Det26_1D  21.360446 -0.150556 0.813866
Det26_2D  21.360695 0.041241 0.827461
Det27_1U  20.433597 0.263747 0.788708
Det27_2U  20.433750 0.075924 0.829855
Det27_1D  21.424939 0.266756 0.798750
Det27_2D  21.425092 0.078932 0.839897
Det28_1U  20.445296 0.298244 0.779500
Det28_2U  20.445468 0.469005 0.691562
Det28_1D  21.411261 0.300003 0.787167
Det28_2D  21.411648 0.470946 0.699137
