          x           y           z           r 2theta(deg)    phi(deg)       Px       Py       Pz      mag         PUx         PUy         PUz         PVx         PVy         PVz         s_b       v_mod       b_pid       label
  424.97500  -584.97500 -1990.00000  2117.28588   160.03184   -54.00219 -0.04341  0.05977  0.99727  1.00000     0.58621    -0.80678     0.07387     0.80900     0.58782    -0.00001           0           2           0          A2
  644.22500  -328.27500 -1990.00000  2117.28371   160.03200   -27.00183 -0.06582  0.03356  0.99727  1.00000     0.88856    -0.45276     0.07388     0.45401     0.89100    -0.00002           0           3           0          A3
  723.05000     0.00000 -1990.00000  2117.28631   160.03181     0.00000 -0.07388  0.00000  0.99727  1.00000     0.99727     0.00000     0.07388     0.00000     1.00000     0.00000           0           4           0          A4
  644.22500   328.27500 -1990.00000  2117.28371   160.03200    27.00183 -0.06582 -0.03356  0.99727  1.00000     0.88856     0.45276     0.07388    -0.45401     0.89100     0.00002           0           5           0          A5
  424.97500   584.97500 -1990.00000  2117.28588   160.03184    54.00219 -0.04341 -0.05977  0.99727  1.00000     0.58621     0.80678     0.07387    -0.80900     0.58782     0.00001           0           6           0          A6
  743.10000 -1287.07500 -1804.80000  2337.96123   140.52974   -59.99977 -0.20008  0.34672  0.91638  1.00000     0.45817    -0.79362     0.40031     0.86605     0.49995    -0.00006           0           0           1          B0
 1050.90000 -1050.90000 -1804.80000  2337.96592   140.52960   -45.00000 -0.28308  0.28308  0.91637  1.00000     0.64797    -0.64797     0.40033     0.70711     0.70711     0.00000           0           1           1          B1
 1287.07500  -743.10000 -1804.80000  2337.96123   140.52974   -30.00023 -0.34672  0.20008  0.91638  1.00000     0.79362    -0.45817     0.40031     0.49995     0.86605     0.00006           0           2           1          B2
 1435.55000  -384.65000 -1804.80000  2337.96118   140.52974   -14.99983 -0.38664  0.10366  0.91638  1.00000     0.88515    -0.23723     0.40030     0.25889     0.96591    -0.00003           0           3           1          B3
 1486.20000     0.00000 -1804.80000  2337.96781   140.52954     0.00000 -0.40032  0.00000  0.91638  1.00000     0.91638     0.00000     0.40032     0.00000     1.00000     0.00000           0           4           1          B4
 1435.55000   384.65000 -1804.80000  2337.96118   140.52974    14.99983 -0.38664 -0.10366  0.91638  1.00000     0.88515     0.23723     0.40030    -0.25889     0.96591     0.00003           0           5           1          B5
 1287.07500   743.10000 -1804.80000  2337.96123   140.52974    30.00023 -0.34672 -0.20008  0.91638  1.00000     0.79362     0.45817     0.40031    -0.49995     0.86605    -0.00006           0           6           1          B6
 1050.90000  1050.90000 -1804.80000  2337.96592   140.52960    45.00000 -0.28308 -0.28308  0.91637  1.00000     0.64797     0.64797     0.40033    -0.70711     0.70711     0.00000           0           7           1          B7
  743.10000  1287.07500 -1804.80000  2337.96123   140.52974    59.99977 -0.20008 -0.34672  0.91638  1.00000     0.45817     0.79362     0.40031    -0.86605     0.49995     0.00006           0           8           1          B8
 1545.67500 -1492.65000 -1389.35000  2558.79047   122.88614   -44.00017 -0.47333  0.45693  0.75310  1.00000     0.54174    -0.52315     0.65790     0.69461     0.71939     0.00009           0           0           2          C0
 1802.10000 -1170.27500 -1389.35000  2558.78905   122.88616   -32.99950 -0.55171  0.35841  0.75310  1.00000     0.63159    -0.41018     0.65790     0.54471     0.83863    -0.00007           0           1           2          C1
 1992.30000  -804.92500 -1389.35000  2558.79991   122.88601   -21.99959 -0.61003  0.24641  0.75310  1.00000     0.69827    -0.28208     0.65791     0.37455     0.92721     0.00002           0           2           2          C2
 2109.27500  -410.00000 -1389.35000  2558.79551   122.88607   -10.99996 -0.64580  0.12547  0.75313  1.00000     0.73929    -0.14368     0.65787     0.19076     0.98164     0.00003           0           3           2          C3
 2148.75000     0.00000 -1389.35000  2558.79268   122.88611     0.00000 -0.65786  0.00000  0.75314  1.00000     0.75314     0.00000     0.65786     0.00000     1.00000     0.00000           0           4           2          C4
 2109.27500   410.00000 -1389.35000  2558.79551   122.88607    10.99996 -0.64580 -0.12547  0.75313  1.00000     0.73929     0.14368     0.65787    -0.19076     0.98164    -0.00003           0           5           2          C5
 1992.30000   804.92500 -1389.35000  2558.79991   122.88601    21.99959 -0.61003 -0.24641  0.75310  1.00000     0.69827     0.28208     0.65791    -0.37455     0.92721    -0.00002           0           6           2          C6
 1802.10000  1170.27500 -1389.35000  2558.78905   122.88616    32.99950 -0.55171 -0.35841  0.75310  1.00000     0.63159     0.41018     0.65790    -0.54471     0.83863     0.00007           0           7           2          C7
 1545.67500  1492.65000 -1389.35000  2558.79047   122.88614    44.00017 -0.47333 -0.45693  0.75310  1.00000     0.54174     0.52315     0.65790    -0.69461     0.71939    -0.00009           0           8           2          C8
 2337.62500 -1275.00000  -797.30000  2779.53286   106.66927   -28.60917 -0.73896  0.40305  0.53989  1.00000     0.47516    -0.25635     0.84173     0.47766     0.87854    -0.00208           0           1           3          D1
 2516.55000  -870.10000  -797.30000  2779.52967   106.66929   -19.07288 -0.79516  0.27494  0.54049  1.00000     0.51131    -0.17519     0.84135     0.32601     0.94537    -0.00127           0           2           3          D2
 2625.95000  -441.15000  -797.30000  2779.55284   106.66915    -9.53643 -0.82956  0.13942  0.54073  1.00000     0.53338    -0.08885     0.84119     0.16532     0.98624    -0.00065           0           3           3          D3
 2662.75000     0.00000  -797.30000  2779.55479   106.66913     0.00000 -0.84108  0.00000  0.54092  1.00000     0.54092     0.00000     0.84108     0.00000     1.00000     0.00000           0           4           3          D4
 2625.95000   441.15000  -797.30000  2779.55284   106.66915     9.53643 -0.82956 -0.13942  0.54073  1.00000     0.53338     0.08885     0.84119    -0.16532     0.98624     0.00065           0           5           3          D5
 2516.55000   870.10000  -797.30000  2779.52967   106.66929    19.07288 -0.79516 -0.27494  0.54049  1.00000     0.51131     0.17519     0.84135    -0.32601     0.94537     0.00127           0           6           3          D6
 2337.62500  1275.00000  -797.30000  2779.53286   106.66927    28.60917 -0.73896 -0.40305  0.53989  1.00000     0.47516     0.25635     0.84173    -0.47766     0.87854     0.00208           0           7           3          D7
 2732.70000 -1238.22500   -88.80000  3001.45563    91.69538   -24.37595 -0.86714  0.39299  0.30598  1.00000     0.27905    -0.12552     0.95204     0.41254     0.91094    -0.00083           0           1           4          E1
 2880.25000  -839.55000   -88.80000  3001.42794    91.69540   -16.25062 -0.91399  0.26627  0.30614  1.00000     0.29406    -0.08515     0.95199     0.27956     0.96013    -0.00047           0           2           4          E2
 2970.02500  -424.05000   -88.80000  3001.45837    91.69538    -8.12558 -0.94238  0.13469  0.30622  1.00000     0.30319    -0.04298     0.95196     0.14139     0.98995    -0.00033           0           3           4          E3
 3000.10000     0.00000   -88.80000  3001.41391    91.69540     0.00000 -0.95191  0.00000  0.30637  1.00000     0.30637     0.00000     0.95191     0.00000     1.00000     0.00000           0           4           4          E4
 2970.02500   424.05000   -88.80000  3001.45837    91.69538     8.12558 -0.94238 -0.13469  0.30622  1.00000     0.30319     0.04298     0.95196    -0.14139     0.98995     0.00033           0           5           4          E5
 2880.25000   839.55000   -88.80000  3001.42794    91.69540    16.25062 -0.91399 -0.26627  0.30614  1.00000     0.29406     0.08515     0.95199    -0.27956     0.96013     0.00047           0           6           4          E6
 2732.70000  1238.22500   -88.80000  3001.45563    91.69538    24.37595 -0.86714 -0.39299  0.30598  1.00000     0.27905     0.12552     0.95204    -0.41254     0.91094     0.00083           0           7           4          E7
 3024.55000 -1252.40000   682.20000  3343.92065    78.22833   -22.49338 -0.86362  0.35751  0.35545  1.00000     0.33079    -0.13021     0.93468     0.38043     0.92479    -0.00581           0           1           5          F1
 3101.97500  -830.92500   682.20000  3282.99895    78.00667   -14.99575 -0.94264  0.25231  0.21858  1.00000     0.21234    -0.05204     0.97581     0.25758     0.96625    -0.00452           0           2           5          F2
 3144.25000  -413.82500   682.15000  3243.90009    77.86083    -7.49779 -0.98393  0.12954  0.12293  1.00000     0.12208    -0.01448     0.99241     0.13033     0.99147    -0.00156           0           3           5          F3
 3152.25000     0.00000   682.20000  3225.22509    77.78855     0.00000 -0.99714  0.00000  0.07553  1.00000     0.07553     0.00000     0.99714     0.00000     1.00000     0.00000           0           4           5          F4
 3144.25000   413.82500   682.15000  3243.90009    77.86083     7.49779 -0.98393 -0.12954  0.12293  1.00000     0.12208     0.01448     0.99241    -0.13033     0.99147     0.00156           0           5           5          F5
 3101.97500   830.92500   682.20000  3282.99895    78.00667    14.99575 -0.94264 -0.25231  0.21858  1.00000     0.21234     0.05204     0.97581    -0.25758     0.96625     0.00452           0           6           5          F6
 3024.55000  1252.40000   682.20000  3343.92065    78.22833    22.49338 -0.86362 -0.35751  0.35545  1.00000     0.33079     0.13021     0.93468    -0.38043     0.92479     0.00581           0           7           5          F7
 3098.60000 -1268.85000  1467.60000  3655.83808    66.33176   -22.26868 -0.99355  0.10288 -0.04773  1.00000    -0.04524     0.02645     0.99863     0.10400     0.99434    -0.02163           0           1           6          G1
 3113.42500  -838.65000  1467.60000  3542.68243    65.52713   -15.07570 -0.99241  0.06739 -0.10289  1.00000    -0.10112     0.02910     0.99445     0.07001     0.99730    -0.02207           0           2           6          G2
 3120.80000  -417.70000  1467.60000  3473.86178    65.00942    -7.62338 -0.98991  0.03343 -0.13769  1.00000    -0.13716     0.01786     0.99039     0.03557     0.99928    -0.01309           0           3           6          G3
 3120.85000     0.00000  1467.55000  3448.68203    64.81519     0.00000 -0.98793  0.00000 -0.15489  1.00000    -0.15489     0.00000     0.98793     0.00000     1.00000     0.00000           0           4           6          G4
 3120.80000   417.70000  1467.60000  3473.86178    65.00942     7.62338 -0.98991 -0.03343 -0.13769  1.00000    -0.13716    -0.01786     0.99039    -0.03557     0.99928     0.01309           0           5           6          G5
 3113.42500   838.65000  1467.60000  3542.68243    65.52713    15.07570 -0.99241 -0.06739 -0.10289  1.00000    -0.10112    -0.02910     0.99445    -0.07001     0.99730     0.02207           0           6           6          G6
 3098.60000  1268.85000  1467.60000  3655.83808    66.33176    22.26868 -0.99355 -0.10288 -0.04773  1.00000    -0.04524    -0.02645     0.99863    -0.10400     0.99434     0.02163           0           7           6          G7
 2915.32500 -1229.45000  2227.20000  3869.24889    54.85725   -22.86611 -0.93229  0.00117 -0.36171  1.00000    -0.36171     0.00040     0.93229     0.00123     1.00000     0.00005           0           1           7          H1
 2915.85000  -819.75000  2227.25000  3759.62948    53.67163   -15.70258 -0.93216  0.00093 -0.36204  1.00000    -0.36204     0.00040     0.93216     0.00101     1.00000    -0.00003           0           2           7          H2
 2916.15000  -409.95000  2227.25000  3692.23948    52.89880    -8.00215 -0.93216  0.00047 -0.36204  1.00000    -0.36204     0.00013     0.93216     0.00048     1.00000     0.00005           0           3           7          H3
 2916.25000     0.00000  2227.25000  3669.48997    52.62966     0.00000 -0.93207  0.00000 -0.36227  1.00000    -0.36227     0.00000     0.93207     0.00000     1.00000     0.00000           0           4           7          H4
 2916.15000   409.95000  2227.25000  3692.23948    52.89880     8.00215 -0.93216 -0.00047 -0.36204  1.00000    -0.36204    -0.00013     0.93216    -0.00048     1.00000    -0.00005           0           5           7          H5
 2915.85000   819.75000  2227.25000  3759.62948    53.67163    15.70258 -0.93216 -0.00093 -0.36204  1.00000    -0.36204    -0.00040     0.93216    -0.00101     1.00000     0.00003           0           6           7          H6
 2915.32500  1229.45000  2227.20000  3869.24889    54.85725    22.86611 -0.93229 -0.00117 -0.36171  1.00000    -0.36171    -0.00040     0.93229    -0.00123     1.00000    -0.00005           0           7           7          H7
 2558.37500  -819.80000  2929.10000  3974.54167    42.52644   -17.76742 -0.84124  0.00063 -0.54066  1.00000    -0.54066     0.00026     0.84124     0.00067     1.00000     0.00012           0           2           8          I2
 2558.70000  -409.95000  2929.05000  3910.79769    41.49921    -9.10246 -0.84117  0.00042 -0.54076  1.00000    -0.54076     0.00013     0.84117     0.00043     1.00000     0.00012           0           3           8          I3
