column     row     bank     Position     DetectorNum     Z     X     Elevation
SA     0     1     Col1_Row1_1     582_1     58.029535     -1.127899     -0.622553
SA     0     1     Col1_Row1_2     582_2     57.978445     -0.350760     -0.622499
SA     0     1     Col1_Row1_3     582_3     57.977337     -0.350830     -1.018800
SA     0     1     Col1_Row1_4     582_4     58.027691     -1.127530     -1.018997
SA     1     2     Col1_Row2_1     594_1     58.027008     -1.128259     -0.211882
SA     1     2     Col1_Row2_2     594_2     57.976748     -0.351315     -0.212002
SA     1     2     Col1_Row2_3     594_3     57.977940     -0.350191     -0.608911
SA     1     2     Col1_Row2_4     594_4     58.027860     -1.128561     -0.608155
SA     2     3     Col1_Row3_1     595_1     58.031410     -1.126461     0.194917
SA     2     3     Col1_Row3_2     595_2     57.978062     -0.349143     0.194396
SA     2     3     Col1_Row3_3     595_3     57.977734     -0.350665     -0.201631
SA     2     3     Col1_Row3_4     595_4     58.030694     -1.127525     -0.201069
SA     3     4     Col1_Row4_1     581_1     58.030942     -1.127634     0.603503
SA     3     4     Col1_Row4_2     581_2     57.976762     -0.351047     0.604248
SA     3     4     Col1_Row4_3     581_3     57.976473     -0.350914     0.208285
SA     3     4     Col1_Row4_4     581_4     58.030167     -1.127703     0.207393
SA     4     5     Col1_Row5_1     596_1     58.030251     -1.128745     1.013821
SA     4     5     Col1_Row5_2     596_2     57.975737     -0.351311     1.013728
SA     4     5     Col1_Row5_3     596_3     57.975843     -0.351299     0.617630
SA     4     5     Col1_Row5_4     596_4     58.030082     -1.128898     0.617960
SB     0     6     Col2_Row1_1     551_1     58.339151     -1.851485     -0.622602
SB     0     6     Col2_Row1_2     551_2     58.029865     -1.137219     -0.623895
SB     0     6     Col2_Row1_3     551_3     58.029524     -1.137852     -1.019860
SB     0     6     Col2_Row1_4     551_4     58.339099     -1.852402     -1.018619
SB     1     7     Col2_Row2_1     588_1     58.339293     -1.856851     -0.212243
SB     1     7     Col2_Row2_2     588_2     58.033810     -1.138954     -0.213474
SB     1     7     Col2_Row2_3     588_3     58.033507     -1.139784     -0.610138
SB     1     7     Col2_Row2_4     588_4     58.339450     -1.857001     -0.609214
SB     2     8     Col2_Row3_1     580_1     58.337858     -1.854679     0.195918
SB     2     8     Col2_Row3_2     580_2     58.031990     -1.138731     0.195570
SB     2     8     Col2_Row3_3     580_3     58.032289     -1.138680     -0.200727
SB     2     8     Col2_Row3_4     580_4     58.337638     -1.854865     -0.200683
SB     3     9     Col2_Row4_1     592_1     58.338587     -1.854916     0.604475
SB     3     9     Col2_Row4_2     592_2     58.031743     -1.139198     0.604656
SB     3     9     Col2_Row4_3     592_3     58.032828     -1.138384     0.208770
SB     3     9     Col2_Row4_4     592_4     58.339893     -1.854325     0.208362
SB     4     10     Col2_Row5_1     579_1     58.338219     -1.855616     1.013440
SB     4     10     Col2_Row5_2     579_2     58.033395     -1.138236     1.012402
SB     4     10     Col2_Row5_3     579_3     58.033393     -1.138625     0.616185
SB     4     10     Col2_Row5_4     579_4     58.337644     -1.856103     0.616854
SC     1     11     Col3_Row2_1     550_1     58.854771     -2.456260     -0.213045
SC     1     11     Col3_Row2_2     550_2     58.347545     -1.864240     -0.213505
SC     1     11     Col3_Row2_3     550_3     58.347627     -1.864557     -0.609932
SC     1     11     Col3_Row2_4     550_4     58.854314     -2.455803     -0.609962
SC     2     12     Col3_Row3_1     568_1     58.853999     -2.456648     0.195776
SC     2     12     Col3_Row3_2     568_2     58.347856     -1.866825     0.195031
SC     2     12     Col3_Row3_3     568_3     58.346623     -1.867628     -0.201284
SC     2     12     Col3_Row3_4     568_4     58.853320     -2.457183     -0.200534
SC     3     13     Col3_Row4_1     241_1     58.855234     -2.456301     0.603861
SC     3     13     Col3_Row4_2     241_2     58.346586     -1.866565     0.604869
SC     3     13     Col3_Row4_3     241_3     58.346837     -1.866570     0.209071
SC     3     13     Col3_Row4_4     241_4     58.854939     -2.456992     0.208176
SD     1     14     Col4_Row2_1     260_1     59.521441     -2.885831     -0.213706
SD     1     14     Col4_Row2_2     260_2     58.866999     -2.462929     -0.214450
SD     1     14     Col4_Row2_3     260_3     58.866908     -2.464567     -0.610449
SD     1     14     Col4_Row2_4     260_4     59.521047     -2.887831     -0.609337
SD     2     15     Col4_Row3_1     569_1     59.519569     -2.886445     0.196317
SD     2     15     Col4_Row3_2     569_2     58.864628     -2.465742     0.193344
SD     2     15     Col4_Row3_3     569_3     58.864855     -2.465278     -0.202185
SD     2     15     Col4_Row3_4     569_4     59.520534     -2.886688     -0.200208
SD     3     16     Col4_Row4_1     552_1     59.519388     -2.889487     0.605038
SD     3     16     Col4_Row4_2     552_2     58.866932     -2.463817     0.604578
SD     3     16     Col4_Row4_3     552_3     58.868209     -2.463294     0.208528
SD     3     16     Col4_Row4_4     552_4     59.521288     -2.887981     0.209614
SE     1     17     Col5_Row2_1     570_1     60.274039     -3.132522     -0.213054
SE     1     17     Col5_Row2_2     570_2     59.532802     -2.892242     -0.213915
SE     1     17     Col5_Row2_3     570_3     59.533265     -2.892808     -0.610473
SE     1     17     Col5_Row2_4     570_4     60.274283     -3.133132     -0.609644
SE     2     18     Col5_Row3_1     589_1     60.273282     -3.135130     0.196608
SE     2     18     Col5_Row3_2     589_2     59.533437     -2.893313     0.195986
SE     2     18     Col5_Row3_3     589_3     59.533751     -2.892871     -0.199788
SE     2     18     Col5_Row3_4     589_4     60.273471     -3.135246     -0.199392
SE     3     19     Col5_Row4_1     244_1     60.271475     -3.134038     0.604843
SE     3     19     Col5_Row4_2     244_2     59.530921     -2.893264     0.603135
SE     3     19     Col5_Row4_3     244_3     59.530652     -2.893777     0.208452
