Detector     Z     X     Elevation
D596M1     4.652327     0.462410     -0.199959
D596M2     4.309185     1.162307     -0.199802
D596M3     4.309028     1.162172     0.196059
D596M4     4.652362     0.462531     0.193139
D579M1     4.295933     1.171208     -0.201447
D579M2     3.841563     1.804367     -0.201097
D579M3     3.840789     1.803736     0.195489
D579M4     4.295697     1.170798     0.194770
D261M1     3.834666     1.812976     -0.200324
D261M2     3.269725     2.348685     -0.197551
D261M3     3.271051     2.348194     0.198990
D261M4     3.836057     1.812672     0.195700
D585M1     3.255025     2.357561     -0.200875
D585M2     2.601253     2.778730     -0.199347
D585M3     2.602148     2.778678     0.196807
D585M4     3.256766     2.357021     0.193451
D586M1     2.585931     2.783596     -0.198156
D586M2     1.859891     3.065937     -0.200726
D586M3     1.858991     3.067176     0.195906
D586M4     2.585574     2.785107     0.198123
D573M1     1.847769     3.066690     -0.200391
D573M2     1.078917     3.191656     -0.200705
D573M3     1.078662     3.191427     0.195221
D573M4     1.847667     3.066596     0.195741
D571M1     1.065695     3.190662     -0.200730
D571M2     0.288827     3.135558     -0.198552
D571M3     0.289495     3.135444     0.197295
D571M4     1.066435     3.191664     0.195759
D574M1     0.275984     3.131531     -0.198110
D574M2     -0.464835     2.893122     -0.198441
D574M3     -0.465281     2.894102     0.198139
D574M4     0.276232     3.132629     0.197510
D225M1     -0.477249     2.889086     -0.199680
D225M2     -1.131075     2.465045     -0.200475
D225M3     -1.129756     2.463911     0.194837
D225M4     -0.476278     2.887953     0.193400
D565M1     -1.143491     2.454137     -0.201454
D565M2     -1.654491     1.866479     -0.201299
D565M3     -1.654719     1.866452     0.195050
D565M4     -1.143115     2.453668     0.194970
D551M1     -1.660139     1.858141     -0.201683
D551M2     -1.965788     1.141903     -0.200805
D551M3     -1.964514     1.142050     0.195211
D551M4     -1.658872     1.857886     0.194280
D594M1     -1.970612     1.127241     -0.201301
D594M2     -2.028744     0.349440     -0.200060
D594M3     -2.028537     0.350030     0.196213
D594M4     -1.970936     1.126464     0.195610
