Location	X	Y	Z	Angle	InUse
A1	181.32414016	-100.421263	108.81005	-300.967373	0
A2	178.61154685	-100.421263	113.20771181	-303.267373	0
A3	170.2899252	-100.421263	125.81470945	-306.47592907	0
A4	164.75813976	-100.421263	132.89339803	-308.85899447	0
A5	159.17869449	-100.421263	139.45729213	-311.23224975	0
A6	153.41610787	-100.421263	145.89832598	-313.61109143	0
A7	146.46020551	-100.421263	152.7071437	-316.21976784	0
A8	139.89310118	-100.421263	158.69711142	-318.58282681	0
A9	133.30100866	-100.421263	164.2284626	-320.94337576	0
A10	126.49520709	-100.421263	169.60194094	-323.29380079	0
A11	119.15509567	-100.421263	174.74124055	-325.65380088	0
A12	111.95563031	-100.421263	179.48491772	-328.0138022	0
A13	104.42125827	-100.421263	183.88260315	-330.37380229	0
A14	95.77750394	-100.421263	188.61560157	-332.73380347	0
A15	87.85407165	-100.421263	192.40456299	-335.54622428	0
A16	79.71218031	-100.421263	195.83908583	-337.91797347	0
A17	71.48200787	-100.421263	198.97398819	-340.28352078	0
A18	63.02253898	-100.421263	201.88439055	-342.65939768	0
A19	54.65478346	-100.421263	204.25097205	-345.0193955	0
A20	46.13095354	-100.421263	206.15655906	-347.37939514	0
A21	36.4270748	-100.421263	208.2754743	9.9206045	0
A22	27.81978477	-100.421263	209.5988181	7.5606045	0
A23	19.16530245	-100.421263	210.5666074	5.2006045	1
A24	11.85249055	-100.421263	211.01950866	-357.15940965	1
A25	1.77354044	-100.421263	211.78721024	-359.51939634	1
A26	-8.18750812	-100.421263	211.2784174	-2.21920655	1
A27	-16.42356767	-100.421263	210.85181485	-4.57925152	0
A28	-25.02212407	-100.421263	210.01230018	-6.9392323	0
A29	-33.44323543	-100.421263	208.46196024	-9.29922186	0
A30	-41.99905906	-100.421263	206.99533937	-11.65922559	0
A31	-50.67972323	-100.421263	205.23449882	-14.01922599	0
A32	-59.07520079	-100.421263	203.09127205	-16.37922581	0
A33	-67.54732638	-100.421263	200.41251575	-18.75130333	0
A34	-76.80376811	-100.421263	197.24118386	-21.32246885	0
A35	-84.68517795	-100.421263	193.99806929	-23.6824683	0
A36	-92.58594646	-100.421263	190.41051024	-25.96424299	0
A37	-100.34229094	-100.421263	186.46379173	-28.32424206	0
B1	181.32414016	-51.3203	108.81005	-300.967373	1
B2	178.61154685	-51.3202748	113.20771181	-303.267373	1
B3	170.2899252	-50.97637953	125.81470945	-306.47592907	1
B4	164.75813976	-50.97637953	132.89339803	-308.85899447	1
B5	159.17869449	-50.97637953	139.45729213	-311.23224975	1
B6	153.41610787	-50.97637953	145.89832598	-313.61109143	1
B7	146.46020551	-50.97637953	152.7071437	-316.21976784	1
B8	139.89310118	-50.97637953	158.69711142	-318.58282681	1
B9	133.30100866	-50.97637953	164.2284626	-320.94337576	1
B10	126.49520709	-50.97637953	169.60194094	-323.29380079	1
B11	119.15509567	-50.97637953	174.74124055	-325.65380088	1
B12	111.95563031	-50.97637953	179.48491772	-328.0138022	1
B13	104.42125827	-50.97637953	183.88260315	-330.37380229	1
B14	95.77750394	-50.97637953	188.61560157	-332.73380347	1
B15	87.85407165	-50.97637953	192.40456299	-335.54622428	1
B16	79.71218031	-50.97637953	195.83908583	-337.91797347	1
B17	71.48200787	-50.97637953	198.97398819	-340.28352078	1
B18	63.02253898	-50.97637953	201.88439055	-342.65939768	1
B19	54.65478346	-50.97637795	204.25097205	-345.0193955	1
B20	46.13095354	-50.97637795	206.15655906	-347.37939514	1
B21	36.4270748	-50.97637795	208.2754743	9.9206045	1
B22	27.81978477	-50.97637795	209.5988181	7.5606045	1
B23	19.16530245	-50.97637795	210.5666074	5.2006045	1
B24	11.85249055	-50.97637795	211.01950866	-357.15940965	1
B25	1.77354044	-50.97637795	211.78721024	-359.51939634	1
B26	-8.18750812	-50.97637795	211.2784174	-2.21920655	1
B27	-16.42356767	-50.97637795	210.85181485	-4.57925152	1
B28	-25.02212407	-50.97637795	210.01230018	-6.9392323	1
B29	-33.44323543	-50.97637795	208.46196024	-9.29922186	1
B30	-41.99905906	-50.97637795	206.99533937	-11.65922559	1
B31	-50.67972323	-50.97637795	205.23449882	-14.01922599	1
B32	-59.07520079	-50.97637953	203.09127205	-16.37922581	1
B33	-67.54732638	-50.97637953	200.41251575	-18.75130333	1
B34	-76.80376811	-50.97637953	197.24118386	-21.32246885	1
B35	-84.68517795	-50.97637795	193.99806929	-23.6824683	1
B36	-92.58594646	-50.97637953	190.41051024	-25.96424299	1
B37	-100.34229094	-50.97637953	186.46379173	-28.32424206	1
C1	184.54835197	-1.53149606	114.15299291	-301.739	1
C2	179.69121575	-1.53149606	121.65552559	-304.099	1
C3	174.61325197	-1.53149606	129.04525669	-306.45900011	1
C4	169.13510669	-1.53149606	136.03925984	-308.80900082	1
C5	163.31281457	-1.53149606	142.95516772	-311.1602995	1
C6	157.25196496	-1.53149606	149.54372087	-313.54190001	1
C7	150.14107795	-1.53149606	156.53187402	-316.21459971	1
C8	143.5803378	-1.53149606	162.59757244	-318.57110019	1
C9	136.73050394	-1.53149606	168.37526772	-320.94560048	1
C10	129.64541181	-1.53149606	173.88348504	-323.31270022	1
C11	122.3839815	-1.53149606	179.03752835	-325.66980096	1
C12	114.8690374	-1.53149606	183.96608228	-328.04620096	1
C13	107.16711535	-1.53149606	188.56029331	-330.42739941	1
C14	98.21394646	-1.53149606	193.3911811	-333.11529932	1
C15	90.18314409	-1.53149606	197.2257815	-335.50520167	1
C16	81.86180197	-1.53149606	200.85625591	-337.88110023	1
C17	73.44936575	-1.53149606	204.04467441	-340.24150008	1
C18	65.13441299	-1.53149606	206.86490472	-342.58739931	1
C19	56.56739055	-1.53149606	209.37707598	-344.93040061	1
C20	47.82439803	-1.53149606	211.5390563	-347.28000051	1
C21	38.07639528	-1.53149606	213.50575197	-350.01784009	1
C22	28.94283425	-1.53149606	214.95999016	-352.34463827	1
C23	19.93952559	-1.53149606	216.06015512	-354.67463465	1
C24	11.42334134	-1.53149606	216.38167362	-357.00463231	1
C25T	2.42913386	17.32283465	215.39059724	-358.16974364	1
C26T	-7.28044646	16.995	216.54805669	-0.49962258	1
C25B	1.68548976	-18.46	216.79149055	-358.1696301	1
C26B	-6.56870906	-18.46	216.51705748	-0.49966698	1
C27	-17.0320752	-1.53149606	216.25887835	-4.40017938	1
C28	-25.56835827	-1.53149606	215.47871654	-6.85970065	1
C29	-34.59693228	-1.53149606	214.15203189	-9.21969727	1
C30	-43.58911929	-1.53149606	212.47636654	-11.57969949	1
C31	-52.33809094	-1.53149606	210.49976496	-13.94189986	1
C32	-60.98564173	-1.53149606	208.19173583	-16.36800015	1
C33	-69.48520276	-1.53149606	205.56740748	-18.75629992	1
C34	-78.59754331	-1.53149606	202.38620906	-21.27569881	1
C35	-86.84145945	-1.53149606	198.94983504	-23.66039944	1
C36	-95.05008622	-1.53149606	195.16227992	-26.0033998	1
C37	-103.0335	-1.53149606	191.12074606	-28.34929941	1
D1	179.96476693	48.38976378	111.0487311	-301.677	1
D2	175.23934606	48.38976378	118.36515354	-304.037	1
D3	170.2687122	48.38976378	125.64028543	-306.39699978	1
D4	164.9482878	48.38976339	132.45990709	-308.74661124	1
D5	159.35645866	48.38976339	139.16145	-311.11943354	1
D6	153.5828437	48.38976339	145.59817992	-313.47952417	1
D7	146.51809606	48.38976339	152.43758661	-316.1344404	1
D8	139.95385669	48.38976339	158.42336024	-318.50381324	1
D9	133.50742756	48.38976339	163.97655945	-320.81503573	1
D10	126.51966457	48.38976339	169.32969055	-323.21895613	1
D11	119.39009882	48.38976339	174.41129764	-325.57895591	1
D12	112.18299606	48.38976339	179.18706024	-327.93895507	1
D13	104.70384724	48.38976339	183.60131102	-330.2989574	1
D14	95.97073386	48.38976339	188.25828465	-333.08599765	1
D15	88.10941299	48.38976378	192.01739291	-335.42600276	1
D16	80.36089961	48.38976378	195.52203346	-337.76099709	1
D17	71.90645512	48.38976378	198.58564016	-340.10500026	1
D18	63.43291575	48.38976378	201.5772752	-342.45000114	1
D19	55.23916772	48.38976378	203.79568504	-344.79000256	1
D20	46.80534291	48.38976378	205.77635079	-347.13000584	1
D21	37.6158563	48.38976378	207.56668031	-349.4297926	1
D22	28.86607874	48.38976378	208.77558504	-351.61151163	1
D23	19.92185669	48.38976378	210.77002244	-353.96154017	1
D24	11.2795815	48.38976378	211.32659882	-356.31150161	1
D25	2.12772598	48.38976378	211.28922677	-358.6615974	1
D26	-7.06087874	48.38976378	211.40623268	-1.01151752	1
D27	-17.10875984	48.38976378	209.67940315	-4.83498641	1
D28	-25.54815669	48.38976378	209.01920157	-7.18499525	1
D29	-34.2240315	48.38976378	208.02821929	-9.5349956	1
D30	-42.79557323	48.38976378	206.63188543	-11.88499545	1
D31	-51.13227638	48.38976378	204.90890945	-14.23499731	1
D32	-59.5296185	48.38976378	202.83581457	-16.5849973	1
D33	-67.93892953	48.38976378	200.0778374	-18.90799781	1
D34	-76.91332874	48.38976378	196.95191378	-21.41799722	1
D35	-85.04251299	48.38976378	193.69740157	-23.76599826	1
D36	-92.91609213	48.38976378	190.06314606	-26.11899553	1
D37	-100.61370748	48.38976378	186.22017126	-28.47900032	1
E1	179.96476693	98.31102362	111.0487311	-301.677	0
E2	175.23934606	98.31102362	118.36515354	-304.037	0
E3	170.2687122	98.31102362	125.64028543	-306.39699978	0
E4	164.9482878	98.31102362	132.45990709	-308.74661124	0
E5	159.35645866	98.31102362	139.16145	-311.11943354	0
E6	153.5828437	98.31102362	145.59817992	-313.47952417	0
E7	146.51809606	98.31102362	152.43758661	-316.1344404	0
E8	139.95385669	98.31102362	158.42336024	-318.50381324	0
E9	133.50742756	98.31102362	163.97655945	-320.81503573	0
E10	126.51966457	98.31102362	169.32969055	-323.21895613	0
E11	119.39009882	98.31102362	174.41129764	-325.57895591	0
E12	112.18299606	98.31102362	179.18706024	-327.93895507	0
E13	104.70384724	98.31102362	183.60131102	-330.2989574	0
E14	95.97073386	98.31102362	188.25828465	-333.08599765	0
E15	88.10941299	98.31102362	192.01739291	-335.42600276	0
E16	80.36089961	98.31102362	195.52203346	-337.76099709	0
E17	71.90645512	98.31102362	198.58564016	-340.10500026	0
E18	63.43291575	98.31102362	201.5772752	-342.45000114	0
E19	55.23916772	98.31102362	203.79568504	-344.79000256	0
E20	46.80534291	98.31102362	205.77635079	-347.13000584	0
E21	37.6158563	98.31102362	207.56668031	-349.4297926	0
E22	28.86607874	98.31102362	208.77558504	-351.61151163	0
E23	19.92185669	98.31102362	210.77002244	-353.96154017	0
E24	11.2795815	98.31102362	211.32659882	-356.31150161	0
E25	2.12772598	98.31102362	211.28922677	-358.6615974	0
E26	-7.06087874	98.31102362	211.40623268	-1.01151752	0
E27	-17.10875984	98.31102362	209.67940315	-4.83498641	0
E28	-25.54815669	98.31102362	209.01920157	-7.18499525	0
E29	-34.2240315	98.31102362	208.02821929	-9.5349956	0
E30	-42.79557323	98.31102362	206.63188543	-11.88499545	0
E31	-51.13227638	98.31102362	204.90890945	-14.23499731	0
E32	-59.5296185	98.31102362	202.83581457	-16.5849973	0
E33	-67.93892953	98.31102362	200.0778374	-18.90799781	0
E34	-76.91332874	98.31102362	196.95191378	-21.41799722	0
E35	-85.04251299	98.31102362	193.69740157	-23.76599826	0
E36	-92.91609213	98.31102362	190.06314606	-26.11899553	0
E37	-100.61370748	98.31102362	186.22017126	-28.47900032	0
