Location	X	Y	Z	Angle
A1	183.281694	-102.081525	116.172646	56.731535
A2	178.34691	-102.081525	123.615426	54.37348
A3	173.108541	-102.081525	130.849471	52.015055
A4	167.580882	-102.081525	137.859012	49.657863
A5	161.76687	-102.081525	144.637985	47.299663
A6	155.679303	-102.081525	151.171006	44.941739
A7	148.549752	-102.077525	158.094529	42.317156
A8	141.917522	-102.077525	164.073707	39.95856
A9	135.045813	-102.077525	169.775058	37.600131
A10	127.943481	-102.077525	175.189683	35.24118
A11	120.624281	-102.077525	180.307989	32.882136
A12	113.103104	-102.077525	185.11873	30.523929
A13	105.388642	-102.077525	189.617721	28.165101
A14	96.415516	-102.077525	194.333608	25.487574
A15	88.336186	-102.077525	198.136436	23.128992
A16	80.108078	-102.077525	201.604	20.770577
A17	71.742241	-102.077525	204.730347	18.411639
A18	63.254617	-102.077525	207.510276	16.052607
A19	54.662719	-102.077525	209.937334	13.694413
A20	45.976077	-102.077525	212.010033	11.335595
A21	36.219632	-102.081525	213.897237	8.710839
A22	27.386027	-102.081525	215.206623	6.352171
A23	18.50455	-102.081525	216.150713	3.993131
A24	9.596488	-102.081525	216.729584	1.635322
A25	0.66831	-102.081525	216.941365	-0.723495
A26	-8.259986	-102.081525	216.785281	-3.082037
A27	-18.177787	-102.077525	216.204986	-5.705933
A28	-27.058638	-102.077525	215.273563	-8.064176
A29	-35.893119	-102.077525	213.978291	-10.422251
A30	-44.668691	-102.077525	212.319798	-12.78085
A31	-53.369026	-102.077525	210.301894	-15.139544
A32	-61.975801	-102.077525	207.928129	-17.497402
A33	-70.480091	-102.077525	205.202166	-19.855885
A34	-79.531181	-102.076525	201.848253	-22.40517
A35	-87.767815	-102.076525	198.403512	-24.763174
A36	-95.870466	-102.076525	194.617537	-27.1253
A37	-103.801168	-102.076525	190.507783	-29.484454
B1	181.3241402	-51.3203	108.81005	59.032627
B2	178.611547	-51.320275	113.207712	56.732627
B3	170.0419229	-50.97637953	125.7138971	53.52406849
B4	164.6677994	-50.97637953	132.6757117	51.14100232
B5	159.032361	-50.97637953	139.3805143	48.76774758
B6	153.1106146	-50.97637953	145.8617628	46.38891513
B7	146.2905466	-50.97637953	152.6557738	43.78023066
B8	139.8722218	-50.97637953	158.558059	41.41717399
