Z,X,Y,bank,eightpack,eightpack vertice idx
0.43233,-2.25359,-0.523408,1,1,0
0.436595,-2.255283,0.521225,1,1,1
0.399831,-2.259701,-0.523349,1,1,3
0.40411,-2.261493,0.521241,1,1,2
0.388861,-2.261352,-0.523327,1,2,0
0.392701,-2.263587,0.521321,1,2,1
0.356279,-2.267008,-0.523239,1,2,3
0.360088,-2.26907,0.52135,1,2,2
0.344432,-2.268919,-0.523403,1,3,0
0.349217,-2.27094,0.521246,1,3,1
0.311689,-2.273563,-0.52333,1,3,3
0.316479,-2.275613,0.521285,1,3,2
0.300228,-2.275107,-0.523618,1,4,0
0.304371,-2.277201,0.520985,1,4,1
0.26742,-2.279267,-0.523429,1,4,3
0.271566,-2.28138,0.521186,1,4,2
0.255309,-2.280613,-0.523546,1,5,0
0.259423,-2.282673,0.521081,1,5,1
0.22244,-2.28426,-0.523433,1,5,3
0.226549,-2.286273,0.521276,1,5,2
0.211331,-2.285181,-0.523574,1,6,0
0.215152,-2.287197,0.52104,1,6,1
0.178377,-2.287961,-0.523523,1,6,3
0.1822,-2.289995,0.521156,1,6,2
0.166418,-2.288897,-0.523826,1,7,0
0.170792,-2.291028,0.520827,1,7,1
0.133424,-2.291152,-0.523719,1,7,3
0.137803,-2.293352,0.520991,1,7,2
0.121624,-2.291671,-0.523803,1,8,0
0.125895,-2.293824,0.520839,1,8,1
0.088595,-2.293334,-0.523714,1,8,3
0.092863,-2.295435,0.520971,1,8,2
0.077243,-2.293725,-0.523924,1,9,0
0.081234,-2.295645,0.520761,1,9,1
0.044187,-2.294712,-0.523979,1,9,3
0.048183,-2.296756,0.520693,1,9,2
0.0325,-2.294742,-0.523912,1,10,0
0.036326,-2.296976,0.520727,1,10,1
-0.000568,-2.295097,-0.523779,1,10,3
0.003258,-2.297352,0.520919,1,10,2
-0.012232,-2.294913,-0.523842,1,11,0
-0.008476,-2.297137,0.520788,1,11,1
-0.045302,-2.294689,-0.523779,1,11,3
-0.041545,-2.296868,0.520909,1,11,2
-0.057207,-2.29427,-0.523846,1,12,0
-0.053532,-2.296667,0.520795,1,12,1
-0.090261,-2.29323,-0.523744,1,12,3
-0.086587,-2.295698,0.520991,1,12,2
-0.101724,-2.29278,-0.523791,1,13,0
-0.09786,-2.295099,0.520854,1,13,1
-0.134756,-2.29118,-0.523692,1,13,3
-0.130891,-2.293477,0.521014,1,13,2
-0.146796,-2.290458,-0.523617,1,14,0
-0.143273,-2.292895,0.520992,1,14,1
-0.179786,-2.288156,-0.523527,1,14,3
-0.176264,-2.290604,0.52109,1,14,2
-0.191069,-2.287101,-0.523488,1,15,0
-0.187268,-2.289491,0.521103,1,15,1
-0.224025,-2.28435,-0.523359,1,15,3
-0.22022,-2.286692,0.52122,1,15,2
-0.235818,-2.283047,-0.523383,1,16,0
-0.231878,-2.285451,0.521198,1,16,1
-0.268696,-2.27949,-0.523263,1,16,3
-0.26476,-2.281921,0.521361,1,16,2
-0.279945,-2.278032,-0.523292,1,17,0
-0.276488,-2.280459,0.52136,1,17,1
-0.312761,-2.27394,-0.523094,1,17,3
-0.309297,-2.276315,0.521588,1,17,2
-0.324427,-2.272234,-0.523112,1,18,0
-0.321184,-2.274787,0.521547,1,18,1
-0.357148,-2.267437,-0.523021,1,18,3
-0.353902,-2.26997,0.521626,1,18,2
-0.368796,-2.265402,-0.522957,1,19,0
-0.365078,-2.267973,0.521627,1,19,1
-0.401411,-2.259935,-0.522762,1,19,3
-0.397672,-2.26238,0.521892,1,19,2
-0.412849,-2.257974,-0.522897,1,20,0
-0.408987,-2.260636,0.521674,1,20,1
-0.445339,-2.251795,-0.522716,1,20,3
-0.441474,-2.254466,0.521853,1,20,2
0.444228,2.251163,-0.522457,2,1,0
0.440805,2.252693,0.52216,2,1,1
0.411747,2.257389,-0.52259,2,1,3
0.408338,2.258971,0.521997,2,1,2
0.400048,2.259584,-0.522617,2,2,0
0.396581,2.261058,0.522025,2,2,1
0.36743,2.265037,-0.52263,2,2,3
0.363982,2.266628,0.522012,2,2,2
0.355896,2.267057,-0.522756,2,3,0
0.352598,2.268493,0.521845,2,3,1
0.323185,2.271919,-0.522881,2,3,3
0.319877,2.273286,0.521742,2,3,2
0.311749,2.273589,-0.523025,2,4,0
0.308189,2.274871,0.521516,2,4,1
0.278956,2.277865,-0.523204,2,4,3
0.275387,2.279083,0.521396,2,4,2
0.267271,2.279477,-0.523172,2,5,0
0.263714,2.280631,0.521436,2,5,1
0.23438,2.282922,-0.523269,2,5,3
0.230827,2.284116,0.521291,2,5,2
0.222937,2.284173,-0.523244,2,6,0
0.219292,2.285244,0.521332,2,6,1
0.189996,2.287104,-0.523261,2,6,3
0.186353,2.288186,0.52137,2,6,2
0.178204,2.288141,-0.52322,2,7,0
0.174802,2.289186,0.521392,2,7,1
0.14521,2.290389,-0.523335,2,7,3
0.141801,2.29132,0.521272,2,7,2
0.133603,2.291256,-0.523465,2,8,0
0.129958,2.29205,0.521217,2,8,1
0.100575,2.292938,-0.523542,2,8,3
0.096936,2.293845,0.521062,2,8,2
0.088639,2.293412,-0.523398,2,9,0
0.08515,2.294155,0.521216,2,9,1
0.055582,2.294386,-0.523548,2,9,3
0.052096,2.295211,0.521061,2,9,2
0.043868,2.294719,-0.523451,2,10,0
0.040274,2.295628,0.52119,2,10,1
0.0108,2.295114,-0.52347,2,10,3
0.007205,2.295966,0.521144,2,10,2
-0.000653,2.295087,-0.523525,2,11,0
-0.004232,2.295694,0.521133,2,11,1
-0.033723,2.29497,-0.523543,2,11,3
-0.037302,2.29552,0.52105,2,11,2
-0.045202,2.29497,-0.523485,2,12,0
-0.049504,2.295559,0.521201,2,12,1
-0.078259,2.294011,-0.523562,2,12,3
-0.082559,2.294571,0.521028,2,12,2
-0.090065,2.293625,-0.523564,2,13,0
-0.093839,2.294044,0.521078,2,13,1
-0.123097,2.292022,-0.523643,2,13,3
-0.126872,2.292489,0.521011,2,13,2
-0.13471,2.291556,-0.523238,2,14,0
-0.138765,2.291591,0.521358,2,14,1
-0.167701,2.289275,-0.523451,2,14,3
-0.171772,2.289551,0.521121,2,14,2
-0.179467,2.288406,-0.523444,2,15,0
-0.183314,2.288665,0.52116,2,15,1
-0.212418,2.28559,-0.523597,2,15,3
-0.216249,2.28568,0.521105,2,15,2
-0.223946,2.28463,-0.523471,2,16,0
-0.227512,2.284766,0.521186,2,16,1
-0.256834,2.281164,-0.5235,2,16,3
-0.26039,2.281205,0.521133,2,16,2
-0.268518,2.279764,-0.523067,2,17,0
-0.272227,2.279768,0.521463,2,17,1
-0.301329,2.275635,-0.523258,2,17,3
-0.305026,2.27554,0.521391,2,17,2
-0.312841,2.274072,-0.52308,2,18,0
-0.31653,2.273947,0.521592,2,18,1
-0.345571,2.269334,-0.523169,2,18,3
-0.349268,2.269274,0.521407,2,18,2
-0.356997,2.267729,-0.522698,2,19,0
-0.360973,2.267451,0.521952,2,19,1
-0.389625,2.262335,-0.522846,2,19,3
-0.393604,2.262078,0.521799,2,19,2
-0.400986,2.260478,-0.522632,2,20,0
-0.405648,2.260214,0.521983,2,20,1
-0.433473,2.254303,-0.522625,2,20,3
-0.43813,2.253994,0.521932,2,20,2
-1.355977,1.561162,-0.521228,3,1,0
-1.356894,1.563059,0.52347,3,1,1
-1.330861,1.58271,-0.521264,3,1,3
-1.331794,1.584644,0.523414,3,1,2
-1.321889,1.590257,-0.521514,3,2,0
-1.322667,1.592005,0.523276,3,2,1
-1.296322,1.611267,-0.521546,3,2,3
-1.297053,1.612977,0.523224,3,2,2
-1.287418,1.61864,-0.521769,3,3,0
-1.288337,1.62035,0.523078,3,3,1
-1.261358,1.639037,-0.521796,3,3,3
-1.262256,1.640738,0.52303,3,3,2
-1.251692,1.646336,-0.521812,3,4,0
-1.252839,1.647616,0.522974,3,4,1
-1.22517,1.666128,-0.521829,3,4,3
-1.226415,1.667558,0.522936,3,4,2
-1.216136,1.672831,-0.52202,3,5,0
-1.216551,1.674445,0.522852,3,5,1
-1.189185,1.692034,-0.522058,3,5,3
-1.189621,1.693699,0.522793,3,5,2
-1.179619,1.698973,-0.522144,3,6,0
-1.180594,1.700404,0.522798,3,6,1
-1.152301,1.71765,-0.522162,3,6,3
-1.153278,1.719105,0.522759,3,6,2
-1.142588,1.724207,-0.522242,3,7,0
-1.143474,1.725588,0.522703,3,7,1
-1.114792,1.742165,-0.52226,3,7,3
-1.115672,1.743558,0.522665,3,7,2
-1.104934,1.748599,-0.522278,3,8,0
-1.105856,1.749844,0.522476,3,8,1
-1.076826,1.766065,-0.522292,3,8,3
