Point,Z,X,Y,L,C
HA_D1T1B,-1.826577,0.833507,-0.391234,0.773810,-0.004329
HA_D1T1T,-1.822475,0.832952,0.382576,,
HA_D1T2B,-1.821271,0.843170,-0.391293,0.773829,-0.0043785
HA_D1T2T,-1.817181,0.842622,0.382536,,
HA_D1T3B,-1.815966,0.852832,-0.391352,0.773847,-0.0044285
HA_D1T3T,-1.811887,0.852291,0.382495,,
HA_D1T4B,-1.810660,0.862495,-0.391411,0.773866,-0.004478
HA_D1T4T,-1.806594,0.861960,0.382455,,
HA_D2T1B,-1.804965,0.871975,-0.390688,0.772646,-0.004365
HA_D2T1T,-1.801328,0.871004,0.381958,,
HA_D2T2B,-1.799597,0.881603,-0.390688,0.772548,-0.004414
HA_D2T2T,-1.795954,0.880628,0.381860,,
HA_D2T3B,-1.794229,0.891232,-0.390688,0.772451,-0.0044625
HA_D2T3T,-1.790579,0.890252,0.381763,,
HA_D2T4B,-1.788861,0.900860,-0.390688,0.772353,-0.0045115
HA_D2T4T,-1.785204,0.899876,0.381665,,
HA_D3T1B,-1.783793,0.909842,-0.390411,0.772419,-0.0042015
HA_D3T1T,-1.779457,0.909709,0.382008,,
HA_D3T2B,-1.778409,0.919460,-0.390411,0.772321,-0.0042505
HA_D3T2T,-1.774158,0.919375,0.381910,,
HA_D3T3B,-1.773024,0.929079,-0.390411,0.772224,-0.004299
HA_D3T3T,-1.768859,0.929041,0.381813,,
HA_D3T4B,-1.767639,0.938698,-0.390411,0.772126,-0.004348
HA_D3T4T,-1.763560,0.938708,0.381715,,
HA_D4T1B,-1.762252,0.947999,-0.390573,0.772077,-0.0045345
HA_D4T1T,-1.758382,0.947928,0.381504,,
HA_D4T2B,-1.756778,0.957567,-0.390573,0.772119,-0.0045135
HA_D4T2T,-1.752925,0.957506,0.381546,,
HA_D4T3B,-1.751303,0.967135,-0.390573,0.772160,-0.004493
HA_D4T3T,-1.747468,0.967085,0.381587,,
HA_D4T4B,-1.745828,0.976703,-0.390573,0.772201,-0.0044725
HA_D4T4T,-1.742012,0.976663,0.381628,,
HA_D5T1B,-1.740294,0.986620,-0.390763,0.773215,-0.0041555
HA_D5T1T,-1.736772,0.985950,0.382452,,
HA_D5T2B,-1.734988,0.996283,-0.390763,0.773231,-0.0041475
HA_D5T2T,-1.731468,0.995614,0.382468,,
HA_D5T3B,-1.729682,1.005946,-0.390763,0.773248,-0.004139
HA_D5T3T,-1.726164,1.005278,0.382485,,
HA_D5T4B,-1.724376,1.015608,-0.390763,0.773264,-0.004131
HA_D5T4T,-1.720859,1.014941,0.382501,,
HA_D6T1B,-1.718998,1.024984,-0.390992,0.772726,-0.004629
HA_D6T1T,-1.714699,1.023291,0.381734,,
HA_D6T2B,-1.713614,1.034603,-0.390992,0.772674,-0.004655
HA_D6T2T,-1.709142,1.032812,0.381682,,
HA_D6T3B,-1.708229,1.044222,-0.390992,0.772621,-0.0046815
HA_D6T3T,-1.703586,1.042333,0.381629,,
HA_D6T4B,-1.702844,1.053841,-0.390992,0.772569,-0.0047075
HA_D6T4T,-1.698030,1.051854,0.381577,,
HA_D7T1B,-1.696965,1.063393,-0.391577,0.772874,-0.00514
HA_D7T1T,-1.693065,1.063038,0.381297,,
HA_D7T2B,-1.691633,1.073041,-0.391577,0.772872,-0.005141
HA_D7T2T,-1.687780,1.072712,0.381295,,
HA_D7T3B,-1.686301,1.082690,-0.391577,0.772870,-0.005142
HA_D7T3T,-1.682495,1.082386,0.381293,,
HA_D7T4B,-1.680969,1.092338,-0.391577,0.772868,-0.005143
HA_D7T4T,-1.677210,1.092060,0.381291,,
HA_D8T1B,-1.675468,1.101507,-0.391495,0.773355,-0.0048175
HA_D8T1T,-1.671635,1.100984,0.381860,,
HA_D8T2B,-1.670115,1.111143,-0.391495,0.773312,-0.004839
HA_D8T2T,-1.666310,1.110636,0.381817,,
HA_D8T3B,-1.664761,1.120779,-0.391495,0.773269,-0.0048605
HA_D8T3T,-1.660986,1.120288,0.381774,,
HA_D8T4B,-1.659408,1.130416,-0.391495,0.773226,-0.004882
HA_D8T4T,-1.655661,1.129941,0.381731,,
HA_D9T1B,-1.653347,1.140364,-0.391689,0.773302,-0.005038
HA_D9T1T,-1.649324,1.140131,0.381613,,
HA_D9T2B,-1.648057,1.150035,-0.391667,0.773315,-0.0050095
HA_D9T2T,-1.644037,1.149804,0.381648,,
HA_D9T3B,-1.642767,1.159706,-0.391644,0.773327,-0.0049805
HA_D9T3T,-1.638750,1.159477,0.381683,,
HA_D9T4B,-1.637478,1.169378,-0.391622,0.773340,-0.004952
HA_D9T4T,-1.633463,1.169150,0.381718,,
BL_D1T1B,0.439672,2.252881,-0.523019,1.044624,-0.000707
BL_D1T1T,0.440248,2.253561,0.521605,,
BL_D1T4B,0.407194,2.259020,-0.523039,1.044634,-0.000722
BL_D1T4T,0.407689,2.259732,0.521595,,
BL_D10T1B,0.039853,2.295233,-0.524277,1.044683,-0.0019355
BL_D10T1T,0.039796,2.296547,0.520406,,
BL_D10T4B,0.006791,2.295449,-0.524270,1.044621,-0.0019595
BL_D10T4T,0.007124,2.296761,0.520351,,
BL_D11T1B,-0.004667,2.295553,-0.524319,1.044579,-0.0020295
BL_D11T1T,-0.004617,2.296653,0.520260,,
BL_D11T4B,-0.037620,2.295032,-0.524299,1.044590,-0.002004
BL_D11T4T,-0.037593,2.296167,0.520291,,
BL_D20T1B,-0.405432,2.259677,-0.523163,1.044658,-0.000834
BL_D20T1T,-0.406082,2.261222,0.521495,,
BL_D20T4B,-0.437724,2.253332,-0.523121,1.044638,-0.000802
BL_D20T4T,-0.438442,2.254888,0.521517,,
BR_D1T1B,0.436594,-2.252933,-0.523741,1.044581,-0.0014505
BR_D1T1T,0.436853,-2.256026,0.520840,,
BR_D1T4B,0.404190,-2.259161,-0.523692,1.044613,-0.0013855
BR_D1T4T,0.404513,-2.262215,0.520921,,
BR_D10T1B,0.036369,-2.294686,-0.524771,1.044646,-0.002448
BR_D10T1T,0.037160,-2.297416,0.519875,,
BR_D10T4B,0.003338,-2.295121,-0.524764,1.044621,-0.0024535
BR_D10T4T,0.003665,-2.297966,0.519857,,
BR_D11T1B,-0.008320,-2.295091,-0.524744,1.044611,-0.0024385
BR_D11T1T,-0.008050,-2.298010,0.519867,,
BR_D11T4B,-0.041343,-2.294747,-0.524751,1.044621,-0.0024405
BR_D11T4T,-0.041234,-2.297567,0.519870,,
BR_D20T1B,-0.408675,-2.258839,-0.523219,1.044622,-0.000908
BR_D20T1T,-0.408181,-2.260925,0.521403,,
BR_D20T4B,-0.441166,-2.252922,-0.523182,1.044621,-0.0008715
BR_D20T4T,-0.440626,-2.254959,0.521439,,
