## Bank 5
# id	l2	ef
5120 0.5188 12.478
5121 0.5188 12.478
5122 0.5188 12.478
5123 0.5188 12.478
5124 0.5188 12.478
5125 0.5188 12.478
5126 0.5188 12.478
5127 0.5188 12.478
5128 0.5188 12.478
5129 0.5188 12.478
5130 0.5188 12.478
5131 0.5188 12.478
5132 0.5188 12.478
5133 0.5188 12.478
5134 0.5188 12.478
5135 0.5188 12.478
5136 0.5188 12.478
5137 0.5188 12.478
5138 0.5188 12.478
5139 0.5188 12.478
5140 0.5188 12.478
5141 0.5188 12.478
5142 0.5188 12.478
5143 0.5188 12.478
5144 0.5188 12.478
5145 0.5188 12.478
5146 0.5188 12.478
5147 0.5188 12.478
5148 0.5188 12.478
5149 0.5188 12.478
5150 0.5188 12.478
5151 0.5188 12.478
5152 0.5188 12.478
5153 0.5188 12.478
5154 0.5188 12.478
5155 0.5188 12.478
5156 0.5188 12.478
5157 0.5188 12.478
5158 0.5188 12.478
5159 0.5188 12.478
5160 0.5188 12.478
5161 0.5188 12.478
5162 0.5188 12.478
5163 0.5188 12.478
5164 0.5188 12.478
5165 0.5188 12.478
5166 0.5188 12.478
5167 0.5188 12.478
5168 0.5188 12.478
5169 0.5188 12.478
5170 0.5188 12.478
5171 0.5188 12.478
5172 0.5188 12.478
5173 0.5188 12.478
5174 0.5188 12.478
5175 0.5188 12.478
5176 0.5188 12.478
5177 0.5188 12.478
5178 0.5188 12.478
5179 0.5188 12.478
5180 0.5188 12.478
5181 0.5188 12.478
5182 0.5188 12.478
5183 0.5188 12.478
5184 0.5188 12.478
5185 0.5188 12.478
5186 0.5188 12.478
5187 0.5188 12.478
5188 0.5188 12.478
5189 0.5188 12.478
5190 0.5188 12.478
5191 0.5188 12.478
5192 0.5188 12.478
5193 0.5188 12.478
5194 0.5188 12.478
5195 0.5188 12.478
5196 0.5188 12.478
5197 0.5188 12.478
5198 0.5188 12.478
5199 0.5188 12.478
5200 0.5188 12.478
5201 0.5188 12.478
5202 0.5188 12.478
5203 0.5188 12.478
5204 0.5188 12.478
5205 0.5188 12.478
5206 0.5188 12.478
5207 0.5188 12.478
5208 0.5188 12.478
5209 0.5188 12.478
5210 0.5188 12.478
5211 0.5188 12.478
5212 0.5188 12.478
5213 0.5188 12.478
5214 0.5188 12.478
5215 0.5188 12.478
5216 0.5188 12.478
5217 0.5188 12.478
5218 0.5188 12.478
5219 0.5188 12.478
5220 0.5188 12.478
5221 0.5188 12.478
5222 0.5188 12.478
5223 0.5188 12.478
5224 0.5188 12.478
5225 0.5188 12.478
5226 0.5188 12.478
5227 0.5188 12.478
5228 0.5188 12.478
5229 0.5188 12.478
5230 0.5188 12.478
5231 0.5188 12.478
5232 0.5188 12.478
5233 0.5188 12.478
5234 0.5188 12.478
5235 0.5188 12.478
5236 0.5188 12.478
5237 0.5188 12.478
5238 0.5188 12.478
5239 0.5188 12.478
5240 0.5188 12.478
5241 0.5188 12.478
5242 0.5188 12.478
5243 0.5188 12.478
5244 0.5188 12.478
5245 0.5188 12.478
5246 0.5188 12.478
5247 0.5188 12.478
5248 0.5188 12.478
5249 0.5188 12.478
5250 0.5188 12.478
5251 0.5188 12.478
5252 0.5188 12.478
5253 0.5188 12.478
5254 0.5188 12.478
5255 0.5188 12.478
