## Bank 16
# id	l2	ef
20480 0.5188 12.478
20481 0.5188 12.478
20482 0.5188 12.478
20483 0.5188 12.478
20484 0.5188 12.478
20485 0.5188 12.478
20486 0.5188 12.478
20487 0.5188 12.478
20488 0.5188 12.478
20489 0.5188 12.478
20490 0.5188 12.478
20491 0.5188 12.478
20492 0.5188 12.478
20493 0.5188 12.478
20494 0.5188 12.478
20495 0.5188 12.478
20496 0.5188 12.478
20497 0.5188 12.478
20498 0.5188 12.478
20499 0.5188 12.478
20500 0.5188 12.478
20501 0.5188 12.478
20502 0.5188 12.478
20503 0.5188 12.478
20504 0.5188 12.478
20505 0.5188 12.478
20506 0.5188 12.478
20507 0.5188 12.478
20508 0.5188 12.478
20509 0.5188 12.478
20510 0.5188 12.478
20511 0.5188 12.478
20512 0.5188 12.478
20513 0.5188 12.478
20514 0.5188 12.478
20515 0.5188 12.478
20516 0.5188 12.478
20517 0.5188 12.478
20518 0.5188 12.478
20519 0.5188 12.478
20520 0.5188 12.478
20521 0.5188 12.478
20522 0.5188 12.478
20523 0.5188 12.478
20524 0.5188 12.478
20525 0.5188 12.478
20526 0.5188 12.478
20527 0.5188 12.478
20528 0.5188 12.478
20529 0.5188 12.478
20530 0.5188 12.478
20531 0.5188 12.478
20532 0.5188 12.478
20533 0.5188 12.478
20534 0.5188 12.478
20535 0.5188 12.478
20536 0.5188 12.478
20537 0.5188 12.478
20538 0.5188 12.478
20539 0.5188 12.478
20540 0.5188 12.478
20541 0.5188 12.478
20542 0.5188 12.478
20543 0.5188 12.478
20544 0.5188 12.478
20545 0.5188 12.478
20546 0.5188 12.478
20547 0.5188 12.478
20548 0.5188 12.478
20549 0.5188 12.478
20550 0.5188 12.478
20551 0.5188 12.478
20552 0.5188 12.478
20553 0.5188 12.478
20554 0.5188 12.478
20555 0.5188 12.478
20556 0.5188 12.478
20557 0.5188 12.478
20558 0.5188 12.478
20559 0.5188 12.478
20560 0.5188 12.478
20561 0.5188 12.478
20562 0.5188 12.478
20563 0.5188 12.478
20564 0.5188 12.478
20565 0.5188 12.478
20566 0.5188 12.478
20567 0.5188 12.478
20568 0.5188 12.478
20569 0.5188 12.478
20570 0.5188 12.478
20571 0.5188 12.478
20572 0.5188 12.478
20573 0.5188 12.478
20574 0.5188 12.478
20575 0.5188 12.478
20576 0.5188 12.478
20577 0.5188 12.478
20578 0.5188 12.478
20579 0.5188 12.478
20580 0.5188 12.478
20581 0.5188 12.478
20582 0.5188 12.478
20583 0.5188 12.478
20584 0.5188 12.478
20585 0.5188 12.478
20586 0.5188 12.478
20587 0.5188 12.478
20588 0.5188 12.478
20589 0.5188 12.478
20590 0.5188 12.478
20591 0.5188 12.478
20592 0.5188 12.478
20593 0.5188 12.478
20594 0.5188 12.478
20595 0.5188 12.478
20596 0.5188 12.478
20597 0.5188 12.478
20598 0.5188 12.478
20599 0.5188 12.478
20600 0.5188 12.478
20601 0.5188 12.478
20602 0.5188 12.478
20603 0.5188 12.478
20604 0.5188 12.478
20605 0.5188 12.478
20606 0.5188 12.478
20607 0.5188 12.478
20608 0.5188 12.478
20609 0.5188 12.478
20610 0.5188 12.478
20611 0.5188 12.478
20612 0.5188 12.478
20613 0.5188 12.478
20614 0.5188 12.478
20615 0.5188 12.478
20616 0.5188 12.478
20617 0.5188 12.478
20618 0.5188 12.478
20619 0.5188 12.478
20620 0.5188 12.478
20621 0.5188 12.478
20622 0.5188 12.478
20623 0.5188 12.478
20624 0.5188 12.478
20625 0.5188 12.478
20626 0.5188 12.478
20627 0.5188 12.478
20628 0.5188 12.478
20629 0.5188 12.478
20630 0.5188 12.478
20631 0.5188 12.478
20632 0.5188 12.478
20633 0.5188 12.478
20634 0.5188 12.478
20635 0.5188 12.478
20636 0.5188 12.478
20637 0.5188 12.478
20638 0.5188 12.478
20639 0.5188 12.478
20640 0.5188 12.478
20641 0.5188 12.478
20642 0.5188 12.478
20643 0.5188 12.478
20644 0.5188 12.478
20645 0.5188 12.478
20646 0.5188 12.478
20647 0.5188 12.478
20648 0.5188 12.478
20649 0.5188 12.478
20650 0.5188 12.478
20651 0.5188 12.478
20652 0.5188 12.478
20653 0.5188 12.478
20654 0.5188 12.478
20655 0.5188 12.478
20656 0.5188 12.478
20657 0.5188 12.478
20658 0.5188 12.478
20659 0.5188 12.478
20660 0.5188 12.478
20661 0.5188 12.478
20662 0.5188 12.478
20663 0.5188 12.478
20664 0.5188 12.478
20665 0.5188 12.478
20666 0.5188 12.478
20667 0.5188 12.478
20668 0.5188 12.478
20669 0.5188 12.478
20670 0.5188 12.478
20671 0.5188 12.478
20672 0.5188 12.478
20673 0.5188 12.478
20674 0.5188 12.478
20675 0.5188 12.478
20676 0.5188 12.478
20677 0.5188 12.478
20678 0.5188 12.478
20679 0.5188 12.478
20680 0.5188 12.478
20681 0.5188 12.478
20682 0.5188 12.478
20683 0.5188 12.478
20684 0.5188 12.478
20685 0.5188 12.478
20686 0.5188 12.478
20687 0.5188 12.478
20688 0.5188 12.478
20689 0.5188 12.478
20690 0.5188 12.478
20691 0.5188 12.478
20692 0.5188 12.478
20693 0.5188 12.478
20694 0.5188 12.478
20695 0.5188 12.478
20696 0.5188 12.478
20697 0.5188 12.478
20698 0.5188 12.478
20699 0.5188 12.478
20700 0.5188 12.478
20701 0.5188 12.478
20702 0.5188 12.478
20703 0.5188 12.478
20704 0.5188 12.478
20705 0.5188 12.478
20706 0.5188 12.478
20707 0.5188 12.478
20708 0.5188 12.478
20709 0.5188 12.478
20710 0.5188 12.478
20711 0.5188 12.478
20712 0.5188 12.478
20713 0.5188 12.478
20714 0.5188 12.478
20715 0.5188 12.478
20716 0.5188 12.478
20717 0.5188 12.478
20718 0.5188 12.478
20719 0.5188 12.478
20720 0.5188 12.478
20721 0.5188 12.478
20722 0.5188 12.478
20723 0.5188 12.478
20724 0.5188 12.478
20725 0.5188 12.478
20726 0.5188 12.478
20727 0.5188 12.478
20728 0.5188 12.478
20729 0.5188 12.478
20730 0.5188 12.478
20731 0.5188 12.478
20732 0.5188 12.478
20733 0.5188 12.478
20734 0.5188 12.478
20735 0.5188 12.478
20736 0.5188 12.478
20737 0.5188 12.478
20738 0.5188 12.478
20739 0.5188 12.478
20740 0.5188 12.478
20741 0.5188 12.478
20742 0.5188 12.478
20743 0.5188 12.478
20744 0.5188 12.478
20745 0.5188 12.478
20746 0.5188 12.478
20747 0.5188 12.478
20748 0.5188 12.478
20749 0.5188 12.478
20750 0.5188 12.478
20751 0.5188 12.478
20752 0.5188 12.478
20753 0.5188 12.478
20754 0.5188 12.478
20755 0.5188 12.478
20756 0.5188 12.478
20757 0.5188 12.478
20758 0.5188 12.478
20759 0.5188 12.478
20760 0.5188 12.478
20761 0.5188 12.478
20762 0.5188 12.478
20763 0.5188 12.478
20764 0.5188 12.478
20765 0.5188 12.478
20766 0.5188 12.478
20767 0.5188 12.478
20768 0.5188 12.478
20769 0.5188 12.478
20770 0.5188 12.478
20771 0.5188 12.478
20772 0.5188 12.478
20773 0.5188 12.478
20774 0.5188 12.478
20775 0.5188 12.478
20776 0.5188 12.478
20777 0.5188 12.478
20778 0.5188 12.478
20779 0.5188 12.478
20780 0.5188 12.478
20781 0.5188 12.478
20782 0.5188 12.478
20783 0.5188 12.478
20784 0.5188 12.478
20785 0.5188 12.478
20786 0.5188 12.478
20787 0.5188 12.478
20788 0.5188 12.478
20789 0.5188 12.478
20790 0.5188 12.478
20791 0.5188 12.478
20792 0.5188 12.478
20793 0.5188 12.478
20794 0.5188 12.478
20795 0.5188 12.478
20796 0.5188 12.478
20797 0.5188 12.478
20798 0.5188 12.478
20799 0.5188 12.478
20800 0.5188 12.478
20801 0.5188 12.478
20802 0.5188 12.478
20803 0.5188 12.478
20804 0.5188 12.478
20805 0.5188 12.478
20806 0.5188 12.478
20807 0.5188 12.478
20808 0.5188 12.478
20809 0.5188 12.478
20810 0.5188 12.478
20811 0.5188 12.478
20812 0.5188 12.478
20813 0.5188 12.478
20814 0.5188 12.478
20815 0.5188 12.478
20816 0.5188 12.478
20817 0.5188 12.478
20818 0.5188 12.478
20819 0.5188 12.478
